item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
42,Department of Youth and Community Development,260,401; 402,2,"August 1, 2027; December 31, 2026; February 1, 2027; January 1, 2027; July 1, 2026; June 30, 2027","July 1, 2026, to December 31","As a condition of the funds in unit of appropriat ion numbers 401 and 402, the Department of Youth and Community Development (DYCD) shall provide to the Council two reports on daily engagements for all Crisis Management Systems (CURE, Youth Enrich ment Services, and Community Healing Services) programs, disaggregated by site location. DYCD shall include information on the number of contracts, number of providers, headcount, the award amount, the precinct and borough in which the services take place, catchment area, and the programming that is held at each event. The reporting shall also include a breakdown of costs and shall include personal servic e costs, including but not limited to overtime; and other than personal service costs, including but not limited to costs of any associated contracts. The first report shall be submitted no later than February 1, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026, and the second report shall be submitted no la ter than August 1, 2027, and shall cover the period beginning January 1, 2027, and ending June 30, 2027."
43,Department of Youth and Community Development,260,312,1,"August 1, 2026",,"As a condition of the funds in unit of appropriation number 312, the Department of Youth and Community Development shall provide a report to the Council no later than August 1, 2026, on the utilization of older youth beds (i.e., beds serving youth 21-24 years of age), including average daily attendance for Fiscal 2026, disaggregated by borough and provider agency."
44,Health and Hospitals Corporation,819,001,1,"January 31, 2027",,"As a condition of the funds in unit of appropriat ion number 001, the Health and Hospitals Corporation (H+H) shall submit to the Council no later than January 31, 2027, a report on budgeted and actual headcount for H+H's correctional health staff by title."
45,Health and Hospitals Corporation,819,001,1,"April 1, 2027; December 31, 2026; January 1, 2027; January 31, 2027; July 1, 2026; July 31, 2027; June 30, 2027; March 31, 2027; October 1, 2026; October 30, 2026; September 30, 2026","July 1, 2026, to September 30","As a condition of the funds in unit of appropriat ion number 001, the Health and Hospitals Corporation (H+H) shall submit to the Council four reports identifying H+H's actual full-time headcount, disaggregated by job title grouping. Reports shall also include varia nce reports against the end of June of the previous fiscal year. The reports shall be su bmitted on: (i) October 30, 2026, coveri ng the period beginning July 1, 2026, and ending September 30, 2026; (ii) January 31, 2027, covering th e period beginning October 1, 2026, and ending December 31, 2026; (iii) April 30, 2 027, covering the period beginning January 1, 2027, and ending March 31, 2027; and (iv) July 31, 2027, covering the period beginning April 1, 2027, and ending June 30, 2027."
46,Health and Hospitals Corporation,819,001,1,"December 31, 2026; February 15, 2027; January 1, 2026","January 1, 2026, to on December 31","As a condition of the funds in unit of appropriat ion number 001, the Health and Hospitals Corporation shall submit to the Council no later than February 15, 2027, a report on the hospital utilization rate of beds and the average length of stay, in total and disa ggregated by hospital. Such report shall cover the period beginning January 1, 2026, and ending on December 31, 2026."
47,Health and Hospitals Corporation,819,001,1,"August 1, 2027",,"As a condition of the funds in unit of appropriat ion number 001, the Health and Hospitals Corporation (H+H) shall post on its website a list of H+H pediatric emergency rooms, including locations and available services. Such report shall be posted no later than August 1, 2027."
48,Human Resources Administration,069,103; 201; 203; 205,4,"April 1, 2027; August 10, 2027; December 31, 2026; February 10, 2027; January 1, 2027; July 1, 2026; June 30, 2027; March 31, 2027; May 10, 2027; November 10, 2026; October 1, 2026; September 30, 2026","July 1, 2026, to September 30","As a condition of the funds in unit of appropriation numbers 103, 201, 203, and 205, the Human Resources Administration shall submit to the Council four repo rts on benefits assistance staffing and caseloads for the cash assistance (CA) and supplemental nutritio n assistance programs (SNAP). Such reports shall include the following information for each such program, disaggregated by month: a. The budgeted headcount and the number of vacant positions, disaggregated by budget code; b. The number of staff re-deployed or re-assigned from other program areas, disaggregated by their assigned program; c. The current caseload of individuals and households enrolled; d. The number of new applications received; e. The number of recertifications due; f. The number of new applications approved; and g. The number of new applications processed beyond mandated 30-day processing times for CA and non-CA SNAP, and the SNAP Outstanding Recertif ication Rate which measures the outstanding recertifications from a given monthly cohort at the end of that month divided by the total SNAP recertification cohort of that same month inclus ive of all SNAP recertifications regardless of whether there is a CA component to the case. Such reports shall be submitted as follows: (i) for the period beginning July 1, 2026, and ending September 30, 2026, the report shall be submit ted by November 10, 2026; (ii) fo r the period beginning October 1, 2026, and ending December 31, 2026, th e report shall be submitted by February 10, 2027; (iii) for the period beginning January 1, 2027, and ending March 31, 2027, the report shall be submitted by May 10, 2027; and (iv) for the period beginn ing April 1, 2027, and ending June 30, 2027, the report shall be submitted by August 10, 2027."
49,Human Resources Administration,069,103,1,"April 1, 2027; April 10, 2027; December 31, 2026; January 1, 2027; January 10, 2027; July 1, 2026; July 10, 2027; June 30, 2027; March 31, 2027; October 1, 2026; October 10, 2026; September 30, 2026","July 1, 2026, to September 30","As a condition of the funds in unit of appropriation number 103, th e Human Resources Administration shall submit to the Council four reports on the CityFHEPS rental assistance voucher program. Such reports shall be disaggregated by month and include: a. The number of unduplicated households enrolled in and utilizing CityFHEPS vouchers; b. The number of unduplicated individual people (including all members of all households) enrolled in and utilizing CityFHEPS vouchers; c. The average monthly subsidy and client contributi on amount of active vouchers, disaggregated by household size; d. The average length of time current voucher clients have been enrolled in CityFHEPS; e. The percentage of new monthly voucher holders who were able to exit from shelter and from community; f. The number of new enrollments, disaggregated by household size; and g. The number of voucher holders who have uti lized CityFHEPS for housing and subsequently returned to shelter within one year. Such reports shall be submitted as follows: (i) for the period beginning July 1, 2026, and ending September 30, 2026, the report shall be submitted by October 10, 2026; (ii) for the period beginning October 1, 2026, and ending December 31, 2026, the report shall be submitted by January 10, 2027; (iii) for the period beginning January 1, 2027, and ending March 31, 2027, the report shall be submitted by April 10, 2027; and (iv) for the period beginning April 1, 2027, and ending June 30, 2027, the report shall be submitted by July 10, 2027."
50,Human Resources Administration,069,105; 112; 205; 212,4,,,"As a condition of the funds in unit of appropriation numbers 105, 112, 205, and 212, the Human Resources Administration and the Mayor’s Office to End Do mestic and Gender-Based Violence (ENDGBV) shall collaborate to submit to the Council no fewer than four reports that reflect the ENDGBV funding in its entirety, including the total budget of ENDGBV, the total budget by program area, and the total headcount for ENDGBV. Each such report shall be submitted within seven business days of the issuance of an update of the financial plan."
51,Human Resources Administration,069,101; 103; 105; 107; 112; 205; 207; 212,8,,,"As a condition of the funds in unit of appropriat ion numbers 101, 103, 105, 107, 112, 205, 207, and 212, the Office of Civil Justice (OCJ) and Human Resources Administration shall submit to the Council no fewer than four reports that reflect OCJ's funding in its entirety including the total budget of OCJ and its relevant budget codes, the total budget broken out by program area and the budget code for each, and the total headcount for OCJ and the respective budget codes. Ea ch such report shall be submitted within seven business days of the issuance of an update of the financial plan."
52,Human Resources Administration,069,103; 111; 203; 211,4,,,"As a condition of the funds in unit of appropriation numbers 103, 111, 203, and 211, the Human Resources Administration (HRA) shall submit to the Council no fewer than four reports detailing budget and enrollment data for the Fair Fares program. A report shall be submitted within seven business days of each issuance of an update of the financial plan and shall include the following information as of the date of such issuance: a. Other than personal service funding, disaggregated by expense type (including, but not necessarily limited to, transit benefits, operational, technology, and marketing and outreach) and budget code for each expense; b. Personal service funding, headcount, and the associated budget codes; c. Capital funding, disaggregated by project identification number, the scope of services, and the expected project completion date; d. The number of unduplicated individuals enrolled in and utilizing Fair Fares, disaggregated by borough; e. The number of new enrollments and disenrollments, disaggregated by borough; f. Demographic data on enrollees including age and borough of residence; g. The number of Fair Fares eligible individuals known to HRA who are enrolled in other benefit programs administered by HRA, but are not enrolled in Fair Fares; h. The number of new applicants who were deemed ineligible for Fair Fares; i. The number of existing Fair Fares clients whose renewals were approved; and j. The number of former Fair Fares clients whose renewals were denied, disaggregated by those who were denied due to ineligibility and those who were denied because the enrollee failed to complete their renewal on time."
53,Mayoralty,002,091,1,"August 1, 2027; December 31, 2026; January 1, 2027; July 1, 2026; June 30, 2027","July 1, 2026, to December 31","As a condition of the funds in the unit of approp riation number 091, the Mayo r’s Office of Contract Services (MOCS) shall submit two reports regarding em ergency contracts. Each report shall identify the agencies that entered into, renewed, or extended a services contract made pursuant to an emergency declaration. Such reports shall include, for each agency, the number and value of all emergency contracts entered into, renewed, or extended, and the names of vendors selected pursuant to these contracts. The first report shall be submitted no later than Februa ry 1, 2027, for the period beginning July 1, 2026, and ending December 31, 2026. The seco nd report shall be submitted no later than August 1, 2027, for the period beginning January 1, 2027, and ending June 30, 2027."
54,Mayoralty,002,260; 261,2,"July 31, 2027",,"As a condition of the funds in unit of appropriation numbers 260 and 261, the Mayor’s Office for Persons with Disabilities shall submit to th e Council a report in relation to su ch Office’s staffing in Fiscal 2027. Such report shall be submitted no later than July 31, 2027, and shall contain the following information: a. A list of the positions within the Office, by title and function or program, and whether each such position is filled or vacant; b. For each position listed, the amount of City funding and the associated budget code."
55,New York City Commission on Human Rights,226,004,1,"April 1, 2027; April 30, 2027; December 31, 2026; January 1, 2027; January 31, 2027; July 1, 2026; July 31, 2026; July 31, 2027; June 30, 2027; March 31, 2027; October 1, 2026; October 31, 2026; September 30, 2026","July 1, 2026, to September 30","As a condition of the funds in unit of appropriation number 004, the New York City Commission on Human Rights shall submit to the Council five reports of: a. The number of inquiries received from individuals in each of the thirty three neighborhoods identified by the Taskforce for Racial Inclusion and Equity (TRIE) Initiative; b. The number of inquiries received from individuals in non-TRIE neighborhoods; and c. The number of mobile intakes conducted at comm unity events in each TRIE neighborhood and the date of each such intake. The first report shall be submitted no later than July 31, 2026, and shall cover the period prior to July 1, 2026. The second report shall be su bmitted no later than October 31, 2026, and shall cover the period beginning July 1, 2026, and ending September 30, 2026. The third report shall be submitted no later than January 31, 2027, and shall cover the period beginning October 1, 2026, and ending December 31, 2026. The fourth report shall be submitted no later than April 30, 2027, and shall cover the period beginning January 1, 2027, and ending March 31, 2027. The fifth re port shall be submitted no later than July 31, 2027, and shall cover the period beginning April 1, 2027, and ending June 30, 2027."
56,New York City Commission on Human Rights,226,003,1,"January 1, 2027; March 1, 2027; October 15, 2026",,"As a condition of the funds in unit of appropriation number 003, the New York City Commission on Human Rights (CCHR) shall submit to the Council three re ports of the number of attorneys staffed on CCHR’s enforcement team and the number of full-time staff members dedicated wholly or principally to overseeing, managing, or improving data collectio n, management, and analys is at CCHR. CCHR shall submit such reports with current staffing numbers no later than October 15, 2026; January 1, 2027; and March 1, 2027."
57,Capital Budget for New York City Housing Authority,806,,0,"December 31, 2026; February 15, 2027; January 1, 2026","January 1, 2026, to on December 31","Budget Line HA-0001 – All Projects As a condition of the funds in budget line HA-0001 fo r the Roof Repair Program at the New York City Housing Authority (NYCHA), NYCHA shall submit to the Council no late r than February 15, 2027, a report detailing the categories of physica l improvements made with the Roof Repair Program funding. Such report shall include the budget for roof repair, disaggregated by funding source, and the number of physical improvements that have been completed or for which construction has begun, disaggregated by physical improvement type (i.e. simple repairs, where the roof can be replaced without work on perimeter walls; moderate repairs, where the roof will be repl aced and repairs are needed to perimeter parapet walls; or complex repairs, where the roof and perimeter parapet walls both need to be replaced) and the location of each improvement completed or for which construction has begun. Such report shall also include the current construction phase and the antici pated timeline of each subsequent construction phase for each project (i.e. design, construction, wate r shut down, closeout). Such report shall cover the period beginning January 1, 2026, and ending on December 31, 2026."
58,Capital Budget for the New York City Housing Authority,806,,0,"August 1, 2027; December 31, 2026; February 1, 2027; January 1, 2027; July 1, 2026; June 30, 2027","on July 1, 2026, to on December 31","Budget Line HA-0001 – All Projects As a condition of the funds in budget line HA-0001 for the Vacant Unit Readiness Program at the New York City Housing Authority (NYCHA), NYCHA shall submit to the Council two reports detailing the status of improvements to be made with Vacant Unit Readin ess Program (""program"") funding. Such report shall include the total budget for the program in each year of the Financial Plan, disaggregated by funding source and whether capital or expense; the number of units completed, where the tenant has been selected for move-in, or is non-dwelling; the number of units in the program by development, disaggregated by borough and Council Member; and whether the development is in PACT or the Preservation Trust. The reports shall be submitted on February 1, 2027, covering the period beginning on July 1, 2026, and ending on December 31, 2026, and on August 1, 2027, covering the period beginning on January 1, 2027, and ending on June 30, 2027."
59,Capital Budget for New York City Office of Technology and Innovation,858,,0,,,"Budget Line DP-0001– All Projects Budget Line DP-0002 – All Projects As a condition of funds in budget lines DP-0001 and DP-0002, the New York City Office of Technology and Innovation (OTI) shall submit to the Council three re ports detailing spending for OTI’s capital projects, including but not limited to, how spending is distri buted across hardware, software, physical structures, land, cloud services, and other platforms. Such report s shall be submitted within seven business days of the release of each capital plan and shall include data as of such capital plan update."
60,New York City Office of Technology and Innovation,858,002; 004; 008; 012; 014,5,"April 15, 2027",,"As a condition of the funds in unit of appropriat ion numbers 002, 004, 008, 012, and 014, the New York City Office of Technology and Innovation (OTI) sha ll submit to the Council one report regarding OTI’s citywide reseller contracts. This shall not include funds for unit of appropriation number 002 allocated to the Mayor’s Office of Housing Recovery Operations or the Civic Engagement Commission. The report shall be submitted by April 15, 2027, and sh all include the following information on each such contract as of the date of such issuance: a. The contract identification number; b. The name of the contractor; c. The term of the contract, the start date, the end date, and if any extensions are possible; d. The contract value; e. The contracted product category; and f. The agency or agencies identified or described in the contract to receive such goods or services."
61,New York City Police Department,056,001; 100,2,"January 30, 2027; September 30, 2026",,"As a condition of the funds in unit of appropriation numbers 001 and 100, the New York Police Department shall consult with the Department of Education and the Department of Transportation to submit two reports regarding school crossing guard intersection locations. The first report shall be submitted no later than September 30, 2026, and shall be based on deployments as of the second week of September 2026. The second report shall be submitted no later than January 30, 2027, and shall be based on deployments as of the second week of January 2027. The reports shall include: a. The criteria utilized to determine school cr ossing guard intersections and crossing guard allocations; b. Each location; c. A description of any changes to the school crossing guard training manual and patrol guide sections related to crossing guard deployment; and d. For both crossing guards and crossing guard supervisors: 1. The budgeted headcount; 2. The actual headcount; and 3. The number of vacancies, disaggregated by patrol borough and precinct and provided in a machine-readable format."
62,New York City Police Department,056,001; 100,2,"December 31, 2026; January 1, 2027; January 15, 2027; July 1, 2026; July 15, 2027; June 30, 2027","July 1, 2026, to December 31","As a condition of the funds in unit of appropriat ion numbers 001 and 100 for the New York City Police Department (NYPD), the NYPD shall submit to the Council two reports detailing the number of deployments the Strategic Response Group command deployed and the borough in which such units were deployed. The first report shall be submitted on or before January 15, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026. The second report shall be submitted on or before July 15, 2027, and shall cover the period beginning January 1, 2027, and ending June 30, 2027."
63,New York City Police Department,056,001; 002; 003; 004; 006; 007; 008; 009; 010; 016; 020; 024,12,"April 1, 2027; December 15, 2026; December 31, 2026; January 1, 2027; July 1, 2026; June 15, 2027; June 30, 2027; March 15, 2027; March 31, 2027; October 1, 2026; September 15, 2027; September 30, 2026","July 1, 2026, to September 30","As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004, 006, 007, 008, 009, 010, 016, 020, and 024, the New York Police Department sh all submit four reports to the Council regarding uniformed overtime. Each such report shall include the following information: a. The total overall uniformed overtime spending by precinct; b. The total overall uniformed hours by precinct; c. Uniformed overtime spending and hours disaggregated by Patrol Borough; and d. Fiscal 2024-2026 comparison uniform overtime by category including: 1. Arrest; 2. Investigations; 3. Operational; 4. Atlas; 5. Crime Reduction; 6. Transit Safety; 7. Events/Details; and 8. Reimbursable Programs. Such reports shall be submitted as follows: (i) for the period beginning July 1, 2026, and ending September 30, 2026, the report shall be submit ted by December 15, 2026; (ii) fo r the period beginning October 1, 2026, and ending December 31, 2026, the report shall be submitted by March 15, 2027; (iii) for the period beginning January 1, 2027, and ending March 31, 2027, the report shall be subm itted by June 15, 2027; and (iv) for the period beginning April 1, 2027, and ending June 30, 2027, the report shall be submitted by September 15, 2027."
64,Department of Homeless Services,071,100; 101; 200,3,,,"Department of Housing Preservation and Development (806) Unit of Appropriation [001] Unit of Appropriation [014] Human Resources Administration (069) Unit of Appropriation [101] Unit of Appropriation [201] New York City Office of Technology and Innovation (858) Unit of Appropriation [002] Unit of Appropriation [010] As a condition of the funds in unit of appropriat ion numbers 100, 101, and 200 for the Department of Homeless Services; 001 and 014 for the Department of Housing Preservation and Development (HPD); 101 and 201 for the Human Resources Administration; an d 002 and 010 for the New York City Office of Technology and Innovation, the Administration shall submit to the Council twelve single reports with the following information included for each agency where asylum seeker response funding has been budgeted. Each such report shall be submitted by th e tenth calendar day following each month in Fiscal 2027 (or the following business day if such day falls on a non-business day) on data as of the last business day of such month (including information as of the most recent financial plan). a. Budgeted and estimated expenditures related to the asylum seeker response, disaggregated by agency and expense type (including, but not limited to, food, rent, social services, security services, funding allocated to agency staff and staff overtime); b. The current and projected per diem rates and a list of the expenses included in the per diem; c. For each agency providing temporary housing to asylum seekers, a breakdown of the number of households and individuals currently served, by population type (single adults, adult families, families with children); d. For each agency providing temporary housing to asylum seekers, the number of sites operating broken out by population type served (single a dults, adult families, families with children) and facility type (including but not limited to, hotels, shelters, humanitarian emergency response and relief centers, respite centers, and any other new site type); and e. A breakdown of budgeted state and federal funding for asylum response efforts, by agency and program or grant. This term and condition shall also apply to any other agency or unit of appropriation not expressly listed herein that has budgeted funding and/or actual expenditures related to asylum response efforts."
65,Department of Environmental Protection,826,001,1,"April 1, 2027; April 10, 2027; December 31, 2026; January 1, 2027; January 10, 2027; July 1, 2026; July 10, 2027; June 30, 2027; March 31, 2027; October 10, 2026; September 30, 2026","July 1, 2026, to September 30","Department of Finance (836) Unit of Appropriation [001] Department of Housing Preservation and Development (806) Unit of Appropriation [001] As a condition of the funds in unit of appropriat ion number 001 for the Departments of Environmental Protection, Finance, and Housing Preservation and Development (collectively the ""Departments""), the Departments shall submit to the Council four report s detailing the outreach effo rts made to individuals and entities with outstanding or delinquent property taxes, water charges (subject to agreement of the Water Board) and any other fees or fines. Such repo rts shall include the frequency of outreach made to such individuals and/or entities and the type of outreach made. These quarterly reports shall be submitted on: (i) October 10, 2026, covering the period beginning July 1, 2026, and ending September 30, 2026; (ii) January 10, 2027, covering the period beginning Octo ber 1, 2026, and ending December 31, 2026; (iii) April 10, 2027, covering the period beginning January 1, 2027, and ending March 31, 2027; and (iv) July 10, 2027, covering the period beginning April 1, 2027, and ending June 30, 2027."
66,Department of Health and Mental Hygiene,816,103; 113,2,"June 30, 2027",,"Health and Hospitals Corporation (819) Unit of Appropriation [001] As a condition of the funds in unit of appropriatio n numbers 103 and 113 for the Department of Health and Mental Hygiene (DOHMH) and in unit of appropriation number 001 for the New York City Health and Hospitals Corporation (H+H), DOHMH and H+H shall s ubmit to the Council no later than June 30, 2027, a report on City Health Department programs prov iding resources related to doulas and midwives, disaggregated by borough."
67,Department of Education,040,472,1,"December 31, 2026; January 31, 2027; July 1, 2026; November 1, 2026","July 1, 2026, to December 31","Office of Administrative Trials and Hearings (820) Unit of Appropriation [001] Unit of Appropriation [002] As a condition of the funds in unit of appropriat ion number 472 for the Department of Education (DOE) and unit of appropriation numbers 001 and 002 for the O ffice of Administrative Trials and Hearings, DOE shall issue two reports to the Council regarding due process case filings, due process case settlements and associated costs for students with Individualized Education Services Programs (“IESPs”), and due process case settlements and associated costs for students wi th Individualized Education Programs (“IEPs”). The first report shall be submitted on or before November 1, 2026, and shall cover Fiscal 2026. The second report shall be submitted on or before January 31, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026. Each report shall include the following information: a. The number of new IESP due process cases filed, disaggregated by: 1. Zip code; 2. Disability classification; 3. Age; 4. Gender; 5. School district; and 6. Service type, including, but not limited to, Special Education Teacher Support Services (“SETSS”), assistive technology, counseling, occupational therapy, physical therapy, and speech-language therapy. b. The number of new IEP due process cases filed, disaggregated by: 1. Zip code; 2. Disability classification; 3. Age; 4. Gender; 5. School district; 6. Whether the filing seeks tuition only, services only, or tuition and services; and 7. If the filing seeks services, the service type, including, but not limited to, SETSS, assistive technology, counseling, occupational therapy, physical therapy, and speech-language therapy. c. For closed IESP due process cases: 1. The number of such cases, disaggregated by fiscal year of filing, and further disaggregated by: (a) Zip code; (b) Disability classification; (c) Age; (d) Gender; (e) School district; (f) Service type, including, but not limited to SETSS, assistive technology, counseling, occupational therapy, physical therapy, and speech-language therapy; (g) Reason for closure, including, but not limited to, closed consolidation case, decision reached, dismissed, and request withdrawn; and (h) Whether the case proceeded to an impartial hearing. d. For closed IEP due process cases: 1. The number of such cases, disaggregated by fiscal year of filing, and further disaggregated by: (a) Zip code; (b) Disability classification; (c) Age; (d) Gender; (e) School district; (f) Whether the filing seeks tuition only, services only, or tuition and services; (g) If the filing seeks services, the service type, including, but not limited to, SETSS, assistive technology, counseling, occupational therapy, physical therapy, and speech-language therapy; (h) Reason for closure, including, but not limited to, closed consolidation case, decision reached, dismissed, request withdrawn; and (i) Whether the case proceeded to an impartial hearing; 2. The average and median number of days from case filing to closure, disaggregated by fiscal year of filing, and further disaggregated by: (a) Zip code; (b) Disability classification; (c) Age; (d) Gender; (e) School district; (f) Whether the filing seeks tuition only, services only, or tuition and services; (g) Reason for closure, including, but not limited to, closed consolidation case, decision reached, dismissed, request withdrawn; and (h) Whether the case proceeded to an impartial hearing; and 3. The total cost of settled IEP cases, disaggregated by fiscal year of filing, and further disaggregated by: (a) Zip code; (b) Disability classification; (c) Age; (d) Gender; (e) School district; (f) Tuition costs; (g) Service costs, by service type, including, but not limited to SETSS, assistive technology, counseling, occupational therapy, physical therapy, and speech-language therapy; and (h) Whether the case proceeded to an impartial hearing. All information shall be reported in compliance with applicable laws relating to the privacy of student information. If a category contains between one and five students, or allows another category to be narrowed to between one and five students, the number may be replaced with a symbol. A category that contains zero students shall be reported as zero."
68,Department of Health and Mental Hygiene,816,103; 113,2,"April 1, 2027; April 10, 2027; December 31, 2026; January 1, 2027; January 10, 2027; July 1, 2026; July 10, 2027; June 30, 2027; March 31, 2027; October 1, 2026; October 10, 2026; September 30, 2026","July 1, 2026, to September 30","Health and Hospitals Corporation (819) Unit of Appropriation [001] As a condition of the funds in unit of appropriatio n numbers 103 and 113 for the Department of Health and Mental Hygiene (DOHMH) and unit of appropriation number 001 for New York City Health and Hospitals Corporation (H+H), DOHMH and H+H shall submit to the Council four reports identifying the number of full-time equivalent employed nurses and the number of hired contracted nurses for DOHMH, H+H, and the Department of Education, disaggregated by: title if applicable, the salary range, and a listing of schools being served. The reports shall be subm itted on: (i) October 10, 2026, covering the period beginning July 1, 2026, and ending September 30, 2026; (ii) January 10, 2027, covering the period beginning October 1, 2026, and ending December 31, 2026; (iii) April 10, 2027, covering the period beginning January 1, 2027, and ending March 31, 2027; and (iv) July 10, 2027, covering the period beginning April 1, 2027, and ending June 30, 2027."
69,Administration for Children’s Services,068,001; 002; 007; 008; 011,5,"December 31, 2026; January 1, 2027; January 15, 2027; July 1, 2026; July 15, 2027; June 30, 2027","July 1, 2026, to December 31","Department of Education (040) Unit of Appropriation [401] Unit of Appropriation [402] As a condition of the funds in unit of appropriation numbers 001, 002, 007, 008, and 011 for the Administration for Children’s Services (ACS) a nd unit of appropriation nu mbers 401 and 402 for the Department of Education, ACS shall submit two reports to the Council detailing: a. The average daily population of youth, disaggregated by juvenile offenders, juvenile delinquents, and adolescent offenders; b. The number of incarcerated yout h admitted to the custody of ACS on pending criminal charges who were charged with offenses of the following severity: 1. Class A felonies; 2. Violent felonies as defined in section 70.02 of the penal law; 3. Non-violent felonies as defined in section 70.02 of the penal law; or 4. Misdemeanors; c. Of the number of incarcerated youth in the custody of ACS on the last day of each calendar month, the percentage charged with offenses of the following severity: 1. Class A felonies; 2. Class B or C felonies; 3. Class D or E felonies; 4. Misdemeanors; or 5. Non-criminal charges; d. The average length of detention for juvenile offenders pre-sentence; e. The average length of detention for juvenile delinquents pre-disposition; f. The average length of detention for adolescent offenders pre-sentence; g. The number of youth serving their sentence in specialized secure detention and specialized juvenile detention; h. The number of youth in secure-detention fac ilities who are enrolled in education programs, disaggregated by program (including, but not limited to, high school, high school equivalency, or college courses); i. The average daily attendance rates for youth in se cure-detention facilities who are enrolled in education programs, disaggregated by program; and j. The number of youth who received a certificate, disaggregated by type of certificate and/or education program. The first report shall be submitted no later than January 15, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026, and the second report shall be submitted no later than July 15, 2027, and shall cover the period beginning January 1, 2027, and ending June 30, 2027."
70,Fire Department,057,009; 010,2,"August 1, 2027; December 31, 2026; February 1, 2027; January 1, 2027; July 1, 2026; June 30, 2027","July 1, 2026, to December 31","New York City Police Department (056) Unit of Appropriation [001] Unit of Appropriation [004] Unit of Appropriation [016] As a condition of the funds in unit of appropriation numbers 009 and 010 for the Fire Department (FDNY) and in unit of appropriation numbers 001, 004, and 016 for the New York City Police Department (NYPD), NYPD and FDNY shall provide to the Council two reports on 911 calls received related to a mental health crisis. Such reports shall include information on the number of calls that are routed to FDNY for B-HEARD response by police precinct, the number of calls that are Emotionally Disturbed Person-related that were responded to by FDNY, and the number of calls that are Emotionally Disturbed Person-related that were responded to by NYPD officers. The first report shal l be submitted no later th an February 1, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026, and the second report shall be submitted no later than August 1, 2027, and shall cover the peri od beginning January 1, 2027, and ending June 30, 2027."
71,Department of Correction,072,003,1,"December 31, 2026; January 1, 2027; January 15, 2027; July 1, 2026; July 15, 2027; June 30, 2027","July 1, 2026, to December 31","Office of Criminal Justice Coordinator (128) Unit of Appropriation [001] As a condition of the funds in unit of appropriat ion number 003 for the Department of Correction (DOC) and unit of appropriation number 001 for the Office of the Criminal Justice Coordinator (MOCJ), DOC and MOCJ shall submit a 2-year forecast or relevant plausible policy impact models, given the makeup of the actual observed jail population and related trends. Such forecast or impact models shall include the methodology of such forecast or im pact models. In addition, such fore cast or impact models shall also include the projected impact of proactive policy stra tegies, as practicable, such as Alternatives to Incarceration, Supervised Release, and Electronic Monitoring programs on the jail population across the period. The first report shall be submitted on or before January 15, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026. The second report shall be submitted on or before July 15, 2027, and shall cover the period beginning January 1, 2027, and ending June 30, 2027."
72,Department of Youth and Community Development,260,311; 312,2,"April 1, 2027; April 10, 2027; December 31, 2026; January 1, 2027; January 10, 2027; July 1, 2026; July 10, 2027; June 30, 2027; March 31, 2027; October 1, 2026; October 10, 2026; September 30, 2026","July 1, 2026, to September 30","New York City Police Department (056) Unit of Appropriation [001] As a condition of the funds in unit of appropriat ion numbers 311 and 312 for the Department of Youth and Community Development (DYCD) and in unit of appropriation number 001 for the New York Police Department (NYPD), DYCD and NYPD shall provide to the Council four reports on daily attendance numbers at Saturday Night Lights programs, disaggregat ed by site location. These quarterly reports shall be submitted on: (i) October 10, 2026, covering the period beginning July 1, 2026, and ending September 30, 2026; (ii) January 10, 2027, covering the period beginning October 1, 2026, and ending December 31, 2026; (iii) April 10, 2027, covering the period beginning January 1, 2027, and ending March 31, 2027; and (iv) July 10, 2027, covering the period beginning April 1, 2027, and ending June 30, 2027. DYCD and NYPD shall ensure that there is programming for the disabled and the report submitted on April 10, 2027, shall also include information on the total annual budget fo r the Saturday Night Lights program, the locations in which the programming takes place, and the programmi ng and activities that are held at each event and if each program or activity are available and accessible to people with disabilities. The reporting shall also include a breakdown of costs disaggregated by agency, and shall include personal service costs, including but not limited to overtime; other than pe rsonal service costs; and costs of any associated contracts."
