member,organization,program,ein,amount,agency,purpose
Eugene,Buddhist Tzu Chi Medical Foundation,,954457939,5000,DHMH,
The,"funding will be used to support Tzu Chi Medical Foundation provide free vision services in undeserved community. Levin Bushwick Starr, Inc.",Big Green Theater,264546315,3000,DCLA,To support the Big Green Theater program.
Brooks-Powers,"Business Outreach Center Network, Inc.",,113306111,5000,SBS,Funding to support operational costs for M/WBE business training in BOC's for Council District 31.
Cornegy,"Business Outreach Center Network, Inc.",,113306111,10000,SBS,"Funding to support financial education workshops, counseling and seminars."
Holden,"Business Outreach Center Network, Inc.",,113306111,3500,SBS,Funds to be used for business and industrial promotion and development.
Speaker,"Business Outreach Center Network, Inc.",,113306111,25000,SBS,"To support the provision of financial education, business planning, marketing and financing workshops, coupled with one-on-one counseling and BOC Network's Child Care Business Development Project."
Cumbo,"Business Outreach Center Network, Inc.",Microenterprise & Small Business Development Services,113306111,5000,SBS,"Funding to support business workshops, 1-on-1 counseling, Microenterprise, Small Business Development Services, and Child Care Business Development Project."
Grodenchik,"Business Outreach Center Network, Inc.",Small Business Development Services,113306111,5000,SBS,To support the operating expenses of Small Business Development services at Queens BOC office.
Adams,"Butterflies By Blaq, Inc.",,454874876,5000,DYCD,"Funds will support the collection, creation, storage, and training of wig-making for the purpose of those with medical needs."
Koo,"CAIPA Foundation, Inc.",,262791755,5000,DHMH,To support COVID testing and vaccination clinics and a public health campaign to combat misinformation.
Perkins,Calliope Creative Foundation,Creative Arts Theatre & Playwrite Training for Adults,134158092,10000,DCLA,Funding to support the Creative Arts Theatre and Playwrite Training for Adults for Residents of Council District 9.
Cornegy,"CAMBA, Inc.",,112480339,5000,DYCD,To support the Beyond Hunger Food Program.
Gibson,"CAMBA, Inc.",Bronx Health & Housing Initiative - Council District 16,112480339,5000,DHMH,"Funding will go to CAMBA's Bronx Health and Housing Initiative, which includes health and wellness programs for supportive housing facilities in Council District 16."
Miller,"Cambria Heights Civic Association, Inc.",,112789513,5000,DYCD,Funds will be used to support a redesign of space to enable socially distanced events/workshops and reservation of 3/4 of the garden layout for visitor seating.
Matteo,"Camelot of Staten Island, Inc.",,237091329,15000,DHMH,Funds will be used for education and outreach for awareness of addiction.
Rose,"Camelot of Staten Island, Inc.",Staying Healthy Youth Clubhouse,237091329,5000,DHMH,"Funds will support administrative, staffing and operational costs associated with developing and running the organization's programming for clients. Page 47 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Ampry-Samuel,"Campaign Against Hunger, Inc., The",,200934854,7000,DYCD,"Funds will be used for the SuperChoice Pantry, Benefit Access, Urban Farming, Health Initiative Workshop and Mobile Pantry."
Levin,"Campaign Against Hunger, Inc., The",,200934854,2000,DYCD,Funding to support general operating expenses associated with the maintenance of the emergency food program and auxiliary services.
Maisel,"Canarsie Community Development, Inc.",,475395985,5000,DYCD,"Funds will be used to provide supplies and materials for Block Association beautification, meetings and/or community emergency plan."
Rose,Canvas Institute,,824902021,5000,DYCD,"Funding to support operational costs associated with media mentorship programming including staffing, equipment and outreach associated with AV production."
Gibson,"Capitol District Management Association, Inc.",Youth Ambassador Program - Council District 16,270699754,8000,DYCD,Funds will support the Youth Ambassadors program in Council District 16 which provides practical work experience to local youth and promoting tourism assistance to the local neighborhood.
Yeger,"Care For Special Needs Children Foundation, Inc.",,472616448,15000,DHMH,"Funds will be used to support families with autistic children, sibling and parent awareness, information and social skills."
Levin,Care for the Homeless,,133666994,5000,DHS,To recruit and train peer outreach workers to find and help hard to reach homeless individuals.
Eugene,"Caribbean American Chamber of Commerce and Industry, Inc.",,112903423,5000,SBS,"To support the small business services program by hiring consultants to serve as workshop facilitators/presenters, program manager, fiscal assistance and community outreach. Also includes, but not limited to: rent, insurance, advertising, office supplies."
Adams,"Caribbean Equality Project, Inc., The",,472806715,5000,DYCD,Funds will support peer culture-specific support group programming.
Dromm,"Caribbean Equality Project, Inc., The",Queer Caribbeans of NYC,472806715,5000,DYCD,To fund production costs of LGBTQ+ Caribbean exhibit.
Louis,"Caribbean Women's Health Association, Inc.",Council District 45,133323168,5000,DHMH,Funds will be used to support HIV Prevention Education- Outreach and Education in Council District 45.
Rodriguez,"CaribBeing, Inc.",,455192099,5000,DCLA,To support programming in Council District 10.
Louis,"CaribBeing, Inc.",Council District 45,455192099,5000,DCLA,Funds will be used to support programs in Council District 45.
Matteo,"Carl V. Bini Memorial Fund, The",,320144539,10000,DYCD,Funds will be used for general operational costs.
Speaker,"Matteo Carl V. Bini Memorial Fund, The",,320144539,50000,DYCD,Funds will be used for programming and operating expenses.
Eugene,Carlos Lezama Archives and Caribbean Cultural Center,,020749266,11000,DYCD,"Funds will be used to support Caribbean Cultural Arts, Research and Steelpan appreciation program, an after school activities and summer months for Brooklyn youth where they learn and engage in activities."
Cumbo,Carlos Lezama Archives and Caribbean Cultural Center,"Caribbean Cultural Arts, Research & Steelpan",020749266,5000,DCLA,"Funding to support Caribbean cultural programming, such as, theater, research of archival photos, poetry, costume design, steel pan classes, folk dancing, drumming, and field trips."
Brannan,"Carnegie Hall Corporation, The",,131923626,5000,DCLA,Funding to support community and education programming in Council District 43.
Powers,"Carnegie Hall Corporation, The",,131923626,5000,DCLA,Funding will support the Carnegie Hall Citywide Summer 2021 Concert Series at Bryant Park
Levine,"Carnegie Hall Corporation, The",Concert Series - Council District 7,131923626,3500,DCLA,Funding to support arts and music and virtual programming for Council District 7 students and residents.
Johnson,"Carnegie Hall Corporation, The",Council District 3,131923626,3000,DCLA,Funding to support broadened musical engagement opportunities by Ensemble Connect fellows at multiple community centers and social service organizations in Council District 3.
Ampry-Samuel,"Carnegie Hall Corporation, The - NeON Arts",Brownsville NeON,131923626,5000,DCLA,Funds will support the NeON Arts program for Council District 41 youth. Page 48 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Gibson,"Carnegie Hall Corporation, The",NeON Arts - Council District 16,131923626,5000,DCLA,Funds will support the NeON Arts program at South Bronx NeON for Council District 16 youth.
Rose,"Carnegie Hall Corporation, The - NeON Arts",Staten Island NeON,131923626,5000,DCLA,"Funding will support the planning and implementation of arts projects at the Staten Island NeON, as well as NeON Arts recruitment activities and artist showcases for young people across the borough."
Kallos,"Carnegie Hill Neighbors, Inc.",,133300409,5000,DYCD,To provide funding for urban planning research and education.
Speaker,"Powers Carnegie Hill Neighbors, Inc.",Clean Streets Initiative,133300409,30000,DYCD,"Funding will support Carnegie Hill Neighbors Clean Streets Initiative, covering costs for street sweeping and caring for green spaces."
Lander,Carroll Gardens Association Incorporated,,112573432,5000,SBS,"Funds for CGA staff to conduct outreach, connect workers with professional development and legal assistance."
Menchaca,Carroll Gardens Association Incorporated,Red Hook Gardens Redevelopment Project,112573432,15000,DYCD,"To cover costs associated with community engagement, including meetings, on the Red Hook Gardens Redevelopment Project, including staff time, outreach materials, and meeting accessibility resources."
Speaker,"Kallos Carter Burden Center for the Aging, Inc., The",,237129499,25000,DFTA,"To support the Caregiver Program, CEAP Program, Luncheon Club, Case Management, Burden/Covello Senior Program, Roosevelt Is. Senior Center, Metro East Day Program, Lehman Vill. Senior, Volunteer Svcs, Social Service Unit, Burden Gallery & Making Art Work."
Diaz,"Casita Maria, Inc.",,131623994,5000,DYCD,"To provide youth education in school and after-school programs supported by a family center, a gallery and a theater."
Speaker,"Gjonaj Catholic Charities Community Services, Archdiocese of New York",,135562185,15000,DYCD,Funding will be utilized for back to school events in Council District 13.
Speaker,"Gjonaj Catholic Charities Community Services, Archdiocese of New York",,135562185,15000,DYCD,
The,"funds will be used towards food purchases in Council District 13. Speaker Rodriguez Catholic Charities Community Services, Archdiocese of New York",,135562185,400000,DYCD,Funds will be used for cultural and arts programs.
Ayala,"Catholic Charities Community Services, Archdiocese of New York",Betance Houses,135562185,10000,DSS/HRA,To provide funding to support the Community and Social Services program at Betances Houses.
Chin,"Catholic Charities Community Services, Archdiocese of New York",Grand Street Guild & Lower East Side,135562185,5000,DYCD,To support English classes for residents of Grand Street Guild and the Lower East Side.
Rosenthal,"Catholic Charities Community Services, Archdiocese of New York",IDP Regents Prep & College Access Awareness,135562185,5000,DOE,Funds support Regents exam preparatory sessions at Innovation Diploma Plus and College Access awareness activities.
Rose,"Catholic Charities Community Services, Archdiocese of New York",Immigration Legal Services - El Centro del Immigrante,135562185,5000,DYCD,"Funds will support administrative, staffing and operational costs associated with providing immigrant legal services at El Centro del Immigrante."
Salamanca,"Catholic Charities Community Services, Archdiocese of New York",South Bronx Food Pantry,135562185,20000,DYCD,Funding to support general operating expenses for South Bronx Food Pantry.
Adams,"Catholic Charities Neighborhood Services, Inc.",,112047151,6000,DFTA,"Funds will support educational, recreational and wellness activities for the seniors and to assist with the general costs of the center's operation. CD22 Catholic Charities Neighborhood Services, Inc. - Internship & Adult ESOL Program"
,"Funds will support educational, recreational and wellness activities for the seniors and to assist with the general costs of the center's operation. CD22 Catholic Charities Neighborhood Services, Inc.",Internship & Adult ESOL Program,112047151,15000,DYCD,Funding will be used to defray the costs of the Young Adult Internship program and the Adult ESOL program.
Koslowitz,"Catholic Charities Neighborhood Services, Inc.",Senior Services,112047151,5000,DFTA,"Funds will be used to support education, recreation, health promotion activities, case assistance, and transportation for seniors and to provide supplies. Page 49 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Speaker,Staten Island Catholic Charities of Staten Island,,135562286,25000,DFTA,Funds will be used for case management and public events in Council District 51.
Speaker,Matteo Catholic Charities of Staten Island,,135562286,100000,DYCD,Funds will be used for the general operating cost for educational programs.
Borelli,Catholic Charities of Staten Island,Case Management - Council District 51,135562286,25000,DYCD,"Funding will support case management, substance use services, operational support for programming and services."
Borelli,Catholic Charities of Staten Island,Catholic Youth Organization (CYO),135562286,20000,DYCD,Funding will be used to support CYO programming and services.
Van Bramer,"Catholic Migration Services, Inc.",Immigration Legal Services,112634818,5000,DSS/HRA,"Funding to reach out to low-income New Yorkers, particularly immigrants, and provide civil legal services."
Levin,"CAVE Organization, Inc.",,043763314,4000,DYCD,Funding will support Leimay's family programming.
Speaker,"Powers CEC Stuyvesant Cove, Inc.",,522440116,50000,DYCD,"Funding will support management, coordination, and delivery of programs including the Green Design Lab, Green Workforce Training Program, Here Comes Solar, and Stuyvesant Cove Park."
Perkins,Center for Alternative Sentencing and Employment Services,Nathaniel Mental Health Clinic,132668080,20000,DHMH,To support Nathaniel Mental Health Clinic.
Levin,"Center for Anti-Violence Education (CAE), Inc., The",,112444676,5000,DYCD,"Funding to support the UpStander program, designed to equip those facing discrimination and violence with self-defense training and de-escalation techniques."
Levin,"Center for Arts Education, Inc.",Parents As Arts Partners,133938080,3000,DCLA,To provide parents and children opportunities to create and explore art together through Parents As Arts Partners (PAAP) at public schools.
Lander,"Center for Arts Education, Inc.",Parents As Arts Partners Program (PAAP),133938080,3000,DCLA,Funding to support the Parents As Arts Partners program (PAAP) at public schools.
Dromm,Center for Community Development for New Americans,COVID-19 Small Business Relief,810584343,5000,SBS,"To fund services to micro and small businesses in Queens ineligible for federal funding, including webinars, assistance to process applications for grants and loans, and special forms of relief like the Queens grant program."
Ayala,"Center for Comprehensive Health Practice, Inc.",Opioid Overdose Prevention Program,133484329,5000,DHMH,"To provide funding for CCHP's POWERS Project, which aims to reduce opioid-related overdoses in New York City."
Perkins,Center for Employment Opportunities,Council District 9,133843322,10000,DYCD,Funding to support operational costs associated CEO programming/services; including the CREW Works program in Council District 9. CD22 Center for Family Representation - Home for Good
,Funding to support operational costs associated CEO programming/services; including the CREW Works program in Council District 9. CD22 Center for Family Representation,Home for Good,510419496,6500,MOCJ,Funds will be used to defray the cost of providing legal services for disadvantaged families.
Cornegy,"Center for NuLeadership on Urban Solutions, The",,454968344,10000,MOCJ,"Funding to support the Institute for Community Safety and Development, a project of Human Justice Training Academy."
Vallone,"Center for the Women of New York, Inc., The","Resource, Information & Learning Center",112876688,7500,DYCD,"Funding will help support CWNY's resource, information and learning center."
Ayala,Center for Traditional Music and Dance,Mariachi Academy of New York,237379877,5000,DCLA,To support Instruction in Mariachi music.
Chin,Center for Urban Community Services,,133687891,10000,DHMH,"Funds will be used to support CUCS’s street outreach program to provide outreach, housing placement, and psychiatry to homeless individuals living around Washington Square Park and surrounding neighborhoods."
Lander,"Center for Urban Pedagogy, Inc.",,113625306,7500,DCLA,Funding to support translations of CUP's materials.
Reynoso,"Center for Urban Pedagogy, Inc.",,113625306,5000,DCLA,To support operational expenses for the Public Access Design program including staff support and materials.
Ayala,"Center for Urban Pedagogy, Inc.",City Studies - International Community High School,113625306,5000,DCLA,To provide funding for the City Studies program at the International Community High School in Mott Haven. Page 50 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Levin,Central American Legal Assistance,,112859151,8500,DSS/HRA,"To support removal defense for detained immigrants and for asylum seekers. CD22 Central Astoria Local Development Coalition, Inc. - Commercial Revitalization"
,"To support removal defense for detained immigrants and for asylum seekers. CD22 Central Astoria Local Development Coalition, Inc.",Commercial Revitalization,112652331,37500,SBS,"Funds will be used to promote the local business thoroughfare and support graffiti removal projects. CD22 Central Astoria Local Development Coalition, Inc. - Community Programs"
,"Funds will be used to promote the local business thoroughfare and support graffiti removal projects. CD22 Central Astoria Local Development Coalition, Inc.",Community Programs,112652331,37000,DCLA,"Funding will be used to support the annual Waterfront Concert series, Independence Day celebration, and Halloween festival."
Van Bramer,"Central Astoria Local Development Coalition, Inc.",Waterfront Concert Series,112652331,20000,DCLA,Funding to support Waterfront Concert Series.
Reynoso,Central Brooklyn Economic Development Corporation,,112981085,10000,DYCD,Fund will be used to support recycling programming in NYCHA developments.
Barron,Central Brooklyn Economic Development Corporation,Council District 42,112981085,5000,DYCD,"Funding is for community development and parks clean up, beautification and safety initiate in the 42nd Council District."
Cumbo,"Central Brooklyn Jazz Consortium, Inc.",Jazz Festivals,113549224,5000,DYCD,Funding to support programming during the Central Brooklyn Jazz Festival.
Rosenthal,"Central City Chorus, Inc.",Neighborhood Concerts,133679135,5000,DCLA,Funds support neighborhood concerts in Council District 6.
Rose,"Central Family Life Center, Inc., The",Fatherhood/Mentoring For Life,133626127,10000,DYCD,"Funds will support administrative, staffing and operational costs associated with providing mentorship opportunities to at-risk youth and underserved, unemployed and/or under-employed fathers in the Council District."
Rose,"Central Family Life Center, Inc., The","Helping Hands, Standing Strong, Cure Violence Support Group",133626127,12900,DYCD,Funding to support therapist led support group meetings and independent sessions for individual and/or family therapy.
Rose,"Central Family Life Center, Inc., The",True2Life Music & Arts,133626127,5000,DYCD,Funding to support participation and engagement in the arts and to explore possible career opportunities.
Speaker,"Rose, Progressive Central Family Life Center, Inc., The",Vibe Summer Program,133626127,25000,DYCD,To provide funding support for the wages for youth to work 15 hours weekly for 6 weeks; a small percentage of the requested funds will be used for the purchase of supplies and materials necessary for the implementation of the service project.
Rodriguez,"Centro Civico Cultural Dominicano, Inc.",,134027383,10000,DYCD,
The,"funds will support the salary of two part time program coordinators and consultant stipends to the Arts, Cultural and Empowerment Program. Vallone Chabad of Northeastern Queens, Inc.",Chabad Community Center,113207716,20000,DYCD,"Funding will assist in the ongoing operations at the Community Center, including after- school programming, programs, classes and services."
Gennaro,Chabad of Queens College,,202070019,10000,DYCD,"Funds will be used to develop and implement a counselling network of professionals and community leaders to help students, young married couples and young professionals navigate challenges. Funds will also facilitate cultural and social programs."
Koslowitz,"Chabad of Rego Park Corona, Inc.",Teen Programming,113454297,5000,DYCD,Funding to support mentoring and cultural activities for teenagers.
Maisel,"Chai Lifeline, Inc.",,112940331,2500,DHMH,"Funding will support programming and services to Chai clients, parents and siblings in crisis and may include transportation."
Louis,"Chai Lifeline, Inc.",Council District 45,112940331,5000,DHMH,Funds will be used support programmatic efforts in Council District 45.
Brooks-Powers,"Chamber of Commerce Borough of Queens, Inc.",,110559220,15000,SBS,"Funding to support COC's outreach programming for Queens businesses, including site visits, surveys, and government agency coordination."
Grodenchik,"Chamber of Commerce Borough of Queens, Inc.",,110559220,10000,SBS,"Funding to support small business programming in Council District 23, including programs on marketing/promotions, salesmanship & education/information on available resources to aid, expand and enhance small business. Page 51 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Holden,"Chamber of Commerce Borough of Queens, Inc.",,110559220,6500,SBS,"Funds to be used to support holiday lights in commercial district in Council District 30, including Ridgewood Fresh Pond Road."
Koo,"Chamber of Commerce Borough of Queens, Inc.",,110559220,6000,SBS,To fund programming and operational costs for the Small Business Resource Sessions and Merchant Organizing Program.
Miller,"Chamber of Commerce Borough of Queens, Inc.",,110559220,7500,SBS,"Funds will be used to support programs that will enhance businesses' marketing techniques, salesmanship, and will educate on resources available to help."
Speaker,"Vallone Chamber of Commerce Borough of Queens, Inc.",,110559220,200000,SBS,"Funding to continue outreach to small businesses in Queens County, and allow a series of bi-lingual workshops in Spanish, Chinese, Korean or other languages covering business topics as well as costs associated with running events in Council District 19."
Ulrich,"Chamber of Commerce Borough of Queens, Inc.",,110559220,5000,SBS,Funds will support small business development and community outreach in Council District 32.
Ulrich,"Chamber of Commerce Borough of Queens, Inc.",,110559220,10000,SBS,
The,"funding will support neighborhood-level initiatives that promote economic development, job creation and retention, and community investment. Koslowitz Chamber of Commerce Borough of Queens, Inc.",Small Business Resources,110559220,5000,SBS,"To support operating/programming expenses for small business resource sessions and merchant organizing. CD22 Chamber of Commerce Borough of Queens, Inc. - Small Business Support"
,"To support operating/programming expenses for small business resource sessions and merchant organizing. CD22 Chamber of Commerce Borough of Queens, Inc.",Small Business Support,110559220,4000,SBS,Funds will be used to support merchant organizing on Ditmars Blvd.
Johnson,"Chashama Arts, Inc.",,133862422,4000,DCLA,Funds will be used to transform empty storefronts into vibrant hubs of presentation and work space for artists of all genres in Council District 3.
Powers,"Chashama Arts, Inc.",,133862422,3500,DCLA,"Funding will support the Space to Present program, which converts vacant spaces into presentation venues for local artists to create and showcase works for audiences."
Gennaro,Chaverim of Queens,,260854958,7000,DYCD,Funding to support emergency and non-emergency auto support to Council District 24.
Gennaro,"CHAZAQ Organization USA, Inc.",,462148352,2000,DYCD,"To clean up and beautify the tree pits on the Main Street median in Kew Gardens Hills, and any other adjacent tree pits or weedy areas on City property."
Grodenchik,"CHAZAQ Organization USA, Inc.",,462148352,3000,DYCD,Funding to support operating expenses of community programming and services.
Johnson,"Chekpeds, Inc.",,264483508,8000,DYCD,"Funds will be used for software, trees, plants and tree guards."
Johnson,"Chelsea Film Festival, Inc.",,464082997,5000,DCLA,Funding to help support expenses related to presenting the 9th year of the film festival.
Johnson,"Chess-in-the-Schools, Inc.",,136119036,3500,DYCD,"Funding to support chess programming and activities including classroom, after-school and teacher training."
Treyger,"Chess-in-the-Schools, Inc.",,136119036,5000,DOE,Funding for a chess program at P.S./I.S. 288 (21K288).
Cumbo,"Chess-in-the-Schools, Inc.",Central Brooklyn,136119036,5000,DOE,Funding to support Chess-in-the-Schools programs in Central Brooklyn.
Koslowitz,"Chess-in-the-Schools, Inc.",Chess Classroom Program,136119036,5500,DOE,"Funding to support the school program, which teaches elementary and middle school students how to play chess and the classroom chess program."
Chin,"Chess-in-the-Schools, Inc.",Council District 1,136119036,3500,DOE,"To support in-school and after-school programs in Council District 1 including tournaments at public schools, college-bound program, and teacher training institute."
Brannan,"Chess-in-the-Schools, Inc.",Council District 43,136119036,2500,DOE,"Funding will support school program, tournament program, college bound, teacher training institute with kids from Council District 43. Page 52 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Maisel,"Chess-in-the-Schools, Inc.",Council District 46,136119036,2500,DOE,To support Chess-In-The-Schools activities within Council District 46. Funds will be used for supplies and direct services to youth.
Grodenchik,Chhaya Community Development Corporation,,113580935,2000,DYCD,"Funding to support programming in community outreach, education, legal and technical assistance."
Van Bramer,Chhaya Community Development Corporation,Civic Engagement & Organizing,113580935,4000,DYCD,Funding will be used to support Civic Engagement & Organizing related programming and services.
Adams,Chhaya Community Development Corporation,Housing Stability and Outreach - Council District 28,113580935,8000,HPD,"Funds will serve to protect, preserve, and promote affordable housing for the benefit of tenants, and current and first-time homeowners in Council District 28."
Gennaro,Chhaya Community Development Corporation,Housing Stability Program,113580935,5000,DYCD,"Funds will support outreach efforts, educational workshops, case management and counseling services in Council District 24."
Brooks-Powers,"Child Center of NY, Inc., The",,111733454,13000,DYCD,Funding to support programming and services for Court Involved Youth in Council District 31.
Speaker,"Child Center of NY, Inc., The",,111733454,25000,DYCD,"Funds will send multi-lingual social workers into schools throughout Queens, to provide ongoing support and engagement to youth/families struggling with health/wellness and acculturation."
Matteo,"Children's Aid Society, The",,135562191,2500,DYCD,Funds will be used to support after school and summer programming.
Ayala,"Children's Aid Society, The",Family Wellness Program,135562191,10000,DYCD,To provide funding to support Children's Aid's Family Wellness program.
Levine,Children's Museum of Manhattan,Field Trips - Council District 7 Public School Students,132761376,5000,DCLA,"Funding for cultural field trips for Pre-K and K public school students in Council District 7, including virtual programs and trips."
Rivera,"Children's Museum of the Arts, Inc.",,133520970,3000,DCLA,Funds will support Children's Museum of the Arts programs and operations.
Levin,"Children's Museum of the Arts, Inc.",Accessible Arts,133520970,3000,DCLA,Funds will support Accessible Arts activities that provide free entrance to CMA and its offerings.
Johnson,"Children's Museum of the Arts, Inc.",Accessible Arts Program,133520970,5000,DCLA,"Funding to support Accessible Arts program, which provides free or reduced-price entrance to the museum and off-site arts education programs."
Chin,"Children's Museum of the Arts, Inc.",Free Art Island Outpost,133520970,4000,DCLA,"To support CMA's Free Art Island Outpost, a free, family-focused weekend art program on Governors Island."
Gennaro,"Children's Orchestra Society, Inc., The",,237106585,5000,DCLA,Funding will enable concerts in underserved communities and to offer free tickets to students and seniors.
Chin,"Chinese American Planning Council, Inc.",,136202692,7500,DYCD,"To support year-round activities around anti-discrimination, anti-bullying, anti-bias curriculum."
Kallos,"Chinese American Planning Council, Inc.",,136202692,5000,DYCD,Funding will be used to enhance the multilingual social services program aimed at reducing poverty and providing support and access to services for immigrants and limited English proficiency community members in City Council District 5.
Reynoso,"Chinese American Planning Council, Inc.",,136202692,5000,DYCD,To provide social services in the Lindsay Park Mitchell-Lama development.
Menchaca,"Chinese American Planning Council, Inc.",Brooklyn Multi- Social Services,136202692,25000,DYCD,"To provide staff support to help clients access a wide array of community resources such as benefits application, immigration services, and healthcare assistance."
Levine,"Chinese American Planning Council, Inc.",Project Reach,136202692,5000,DFTA,To fund mental health services for aging populations.
Menchaca,"Chinese American Planning Council, Inc.",Project Reach,136202692,10000,DYCD,"Funding to support workshops and trainings on crisis intervention and anti- discrimination to schools, CBOs, faith communities, and government agencies committed to addressing bullying, implicit bias & intergroup conflict/tensions in Council District 38. Page 53 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Speaker,"Chin, Kallos Chinese American Planning Council, Inc.",Project Reach,136202692,100000,DYCD,"To support the Making NYC Safe Again program, which will provide safe spaces for youth to organize to end islamophobia, transphobia and sexual harassment."
Treyger,"Chinese American Social Services Center, Inc.",,474279061,7500,DYCD,Funds will be used to defray the cost of operating expenses and to provide direct social service to community residents.
Yeger,"Chinese American Social Services Center, Inc.",,474279061,5000,DYCD,To provide programming and various social services for new immigrants.
Barron,"Christopher Rose Community Empowerment Campaign, Inc.",Council District 42,113423612,10000,DYCD,Funding to support operating expense costs for community family support programming in Council District 42.
Louis,"Christopher Rose Community Empowerment Campaign, Inc.",Council District 45,113423612,5000,DHMH,Funds will be used to support Maternal and Child Health Services Programs.
Eugene,Church Avenue District Management Association,,112835403,5000,SBS,"Funds will support a continuation of our supplemental sanitation program which includes sanitation, snow/ice clearing during inclement weather, conditions and graffiti monitoring by BID staff, and our ongoing efforts to decrease illegal dumping."
Johnson,Church of the Holy Apostles,,132892297,10000,DYCD,Funds to support increased hunger relief services due to COVID-19.
Vallone,Church on the Hill-Reformed,Community Yoga,111672754,5000,DYCD,Funding will support operating costs related to community yoga programs run by Church on the Hill-Reformed.
Chin,"Church Street School for Music and Art, Inc.",Creative Arts Club,133693660,5500,DCLA,"To purchase supplies and equipment for the after-school Creative Arts Club, serving students 6-12 years."
Chin,"Church Street School for Music and Art, Inc.",Senior Chorus,133693660,5000,DCLA,"To support the Senior Chorus program at Brookdale Battery Park, Battery Park City Conservancy, and Southbridge Towers in the Seaport."
Reynoso,"Churches United for Fair Housing, Inc.",,264698161,5000,DYCD,"To support local youth sports programming, services and activities."
Speaker,"Reynoso Churches United for Fair Housing, Inc.",,264698161,35000,HPD,Funding for the Affordable Housing Counseling Advocacy Program (CAP). It connects residents with affordable housing opportunities and works with and counsels them through the grueling paperwork and interview process.
Ampry-Samuel,"Churches United for Fair Housing, Inc.",Council District 41,264698161,7500,HPD,"Funds will be used to support Affordable Housing workshops, Know Your Rights & Financial Empowerment for Council District 41 residents."
Diaz,"Citizens Committee for New York City, Inc.",,510171818,5000,DYCD,This funding will be to support administrative costs of Citizens Committee grants programming in Council District 18.
Koo,"Citizens Committee for New York City, Inc.",,510171818,5000,DYCD,"To support the operational expenses of the Neighborhood Grants program, which offers capacity building workshops, project planning expertise to volunteer-led groups."
Reynoso,"Citizens Committee for New York City, Inc.",,510171818,8500,DYCD,"To support the operational expenses of the Neighborhood Grants program, including skills building workshops."
Rivera,"Citizens Committee for New York City, Inc.",,510171818,3000,DYCD,Funds will support Citizens Committee's programs and operations.
Speaker,"Citizens Committee for New York City, Inc.",,510171818,10000,DYCD,"Funding for its New Yorkers for Better Neighborhoods program offers skills building workshops, one-on-one project planning assistance, and an equipment loan library to volunteer-led groups."
Louis,"Citizens Committee for New York City, Inc.",Council District 45,510171818,2500,DYCD,Funds to support All In Neighborhood Grants and Neighborhood Business Grants in Council District 45.
Lander,"Citizens Committee for New York City, Inc.",Neighborhood Grant Program,510171818,8500,DYCD,Funding to support general operating expenses of the Neighborhood Grant program.
Powers,"Citizens Committee for New York City, Inc.",Neighborhoods Grants Program,510171818,5000,DYCD,"Funding will support the operating expenses of the Neighborhoods Grants program, which helps resident-led efforts to tackle community problems and improve the quality of neighborhood."
Van Bramer,"City Growers, Inc.",Farm-Based STEM Program,452149344,5000,DYCD,"Funding to support the general operating costs associated with running farm-based, STEM education programs. Page 54 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Powers,"City Harvest, Inc.",,133170676,10000,DYCD,Funding will support emergency food rescue and distribution and community-based programming.
Ampry-Samuel,"City Harvest, Inc.",Council District 41,133170676,5000,DYCD,Funding will support City Harvest's Emergency Food Rescue and Distribution at NYCHA housing developments in Council District 41.
Gjonaj,City Island Community Center,,133074369,20000,DYCD,"Funding to support operation expenses such as monthly rental fees, heating, electric and gas and telephone bills."
Gjonaj,City Island Historical Society,,112734516,5000,DCLA,"Funding to support activities and programming emphasizing the preservation the history of City Island, including the creation of video recollections and an exhibition."
Gjonaj,City Island Theater Group,,134048438,5000,DCLA,To help offset the costs of running and operating the theater.
Rosenthal,City Parks Foundation,,133561657,3500,DPR,Funds support SummerStage digital or live shows. CD22 City Parks Foundation - Community Parks Program
,Funds support SummerStage digital or live shows. CD22 City Parks Foundation,Community Parks Program,133561657,5000,DPR,Funding will be used to provide free local sports programs in Council District 22.
Diaz,City Parks Foundation,Council District 18,133561657,5000,DPR,Funding to support operating expenses for sports programming in Council District 18 including staff support and equipment.
Rivera,City Parks Foundation,Council District 2,133561657,2500,DPR,Funds will support CPF's programs and operations in Council District 2.
