member,organization,program,ein,amount,agency,purpose
De La Rosa,"Community Voices Heard, Inc.","Tenant Public Education, Leadership Development & Civic Engagement",133901997,10000,DYCD,"To support Tenant Public Education, Leadership Development and Civic Engagement of Low-Income Black Women in NYC."
Gennaro,"Community-Word Project, Inc.",,134114145,5000,DYCD,To support school based arts residencies programming for students in District 24.
Sanchez,"Community-Word Project, Inc.",Public School/Middle School 279X (10X279),134114145,30000,DCLA,"Funds will be used to support arts education at PS/MS 279 through a school based arts residency. Cabán Community-Word Project, Inc. - Collaborative Arts Residency Program"
,"Funds will be used to support arts education at PS/MS 279 through a school based arts residency. Cabán Community-Word Project, Inc.",Collaborative Arts Residency Program,134114145,5000,DCLA,"Funds will be used to defray the operating expenses for programs at Public School 17Q, Intermediate School 126Q, and Public School 234Q. Gutiérrez Community-Word Project, Inc. - Public School 84K (14K084)"
,"Funds will be used to defray the operating expenses for programs at Public School 17Q, Intermediate School 126Q, and Public School 234Q. Gutiérrez Community-Word Project, Inc.",Public School 84K (14K084),134114145,5000,DCLA,To support a school-based arts residency at Public School 84K (14K084).
Abreu,"Comunilife, Inc.",,133530299,10000,DYCD,Funding to support Life is Precious Program in Council District 7.
Rivera,"Comunilife, Inc.",,133530299,5000,DYCD,Funds will support Comunilife's programs and operations.
Kagan,"Coney Island History Project, Inc.",Cultural Enrichment Programming - Council District 47,030541772,5000,DCLA,"Funds will support presentations at local schools, senior centers, libraries and and public venues feature oral history and group reminiscence activities, tours and talks exploring the history, culture and ecology of Coney Island. Page 58 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Yeger,Cong Chasdei Lev,,454786470,5000,DYCD,Funds to be used to assist with food distribution operations for families in need of food.
Louis,Cong Chasdei Lev,Council District 45,454786470,5000,DYCD,Funds will be used for food distribution in the 45th Council District.
Brewer,Congregation B'nai Jeshurun Starafroler Hebria,Judith Bernstein Lunch Program,130594858,5000,DYCD,Funds will support food program.
Yeger,Congregation Bnai Yosef,,111994182,8000,DFTA,Funding to support meals for seniors who visit the facility.
Stevens,"Connect, Inc.",Community Empowerment Program - Council District 16,020694269,5000,MOCJ,"Funding will go toward Community Empowerment program, early intervention and prevention programs for domestic and gender violence in Council District 16."
Hudson,"Connect, Inc.",Community Empowerment Program- Council District 35,020694269,5000,ACS,"Funding to support roundtable discussions, comprehensive trainings, educational workshops, & community events on domestic, interpersonal, and gender violence."
Jordan,"Connect, Inc.",Connect Harlem,020694269,39000,MOCJ,"To provide services include case management, crisis intervention, referrals, counseling, empowerment workshops, legal advocacy and referrals; with programming/services taking place within CD 9. Cabán Connected Chef Foundation, Inc. - Council District 22 Participatory Budgeting - The Connected Chef"
,"To provide services include case management, crisis intervention, referrals, counseling, empowerment workshops, legal advocacy and referrals; with programming/services taking place within CD 9. Cabán Connected Chef Foundation, Inc.",Council District 22 Participatory Budgeting - The Connected Chef,852348659,10000,DYCD,"Funds will be used to support permanent and weekly Urban Farm Stand to the neighborhood, bringing produce from a network of farms & Queens producers. The multi-farm market will run once weekly from April - November."
Paladino,Conrad Poppenhusen Association,Cultural and Historic Programs,111633524,20000,DCLA,"The funding engages cultural programs and institutions to provide arts enrichment to the community in Council District 19. Ossé Cool Culture, Inc."
,"The funding engages cultural programs and institutions to provide arts enrichment to the community in Council District 19. Ossé Cool Culture, Inc.",,161636968,5000,DCLA,Funding for Cultural Access Program in Council District 36.
Rivera,"Cooper Square Community Development Committee, Inc.",,132666211,28000,HPD,"Funds will support Cooper Square Committee's tenant organizing, advocacy, and eviction prevention programs and operations."
Marte,"Cooper Square Community Development Committee, Inc.",Tenant Counseling & Organizing Services,132666211,9000,HPD,To provide support for CSC's provision of tenant counseling and organizing services to residents of Council District 1.
Nurse,"Cooper Street Community Association, Inc.",Annual Back to School Block Health Fair Drive,462035796,5000,DYCD,Funds will support the development and execution of Annual Back to School Block Health Fair Drive in Council District 37.
Moya,"Corona Community Ambulance Corps, Inc.",,113214382,13000,FDNY,"To support community, thanksgiving and holiday season events and lights in Council District 21."
Speaker,"Mealy, Narcisse, Vernikov Council of Jewish Organizations of Flatbush, Inc.",,112864728,50000,DYCD,"To provide funding support for: benefits & entitlements assistance; legal services; housing counseling & advocacy; Immigration Assistance; ESOL & HSE (GED) programs; Computer Classes; Financial, Employment & Senior Services; and After School Programming."
Vernikov,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,7250,DYCD,Funding to sustain the continuous operations for COJOs major areas of support and service that include benefits and entitlement for the needy.
Yeger,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,10000,DYCD,"To support the following: Benefits/entitlements assistance; legal services; housing counseling and advocacy; Immigration Assistance; ESOL and HSE (GED) programs; Computer Classes, Financial Services; Employment Services; Senior Services; After School."
Joseph,"Council of Jewish Organizations of Flatbush, Inc.",Council District 40,112864728,5000,DYCD,Funding will support seniors in Council District 40 who need support with doctor's appointments and hot meal delivery.
Joseph,"Council of Peoples Organization, Inc.",,753046891,10000,DYCD,"Funds will support food distribution, NYC MCCAP initiative, Access Health NYC initiative that supports prevention and population health activities."
Yeger,"Council of Peoples Organization, Inc.",,753046891,3000,DFTA,Funding will be used to provide unemployed individuals over the age of 55 who have Medicaid or Medicare with lunch 5 days a week. Page 59 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Speaker,"Louis Council of Peoples Organization, Inc.",COPO Halal Senior Center,753046891,50000,DFTA,"Funds will support COPO's Senior Center, one of the first Halal senior centers in New York City."
Speaker,"Brewer Council of Senior Centers and Services of NYC, Inc.",RISE Program,132967277,100000,DFTA,Funds will support citywide advocacy and resource seminars for seniors.
Carr,Council on the Arts and Humanities for Staten Island,,133713211,3000,DCLA,"Funds will be used to support public programming, technical assistance and professional development for individual artists and cultural organizations based in Council District 50."
Hanks,Council on the Arts and Humanities for Staten Island,Art is Everywhere,133713211,5000,DCLA,Funds will provide art programming in the 49th Council District.
Hanif,"Council on the Environment, Inc.",,132765465,10000,DYCD,"Funding to support operating expenses of GrowNYC program including Greenmarket and Youthmarket farm stands. Ossé Council on the Environment, Inc."
,"Funding to support operating expenses of GrowNYC program including Greenmarket and Youthmarket farm stands. Ossé Council on the Environment, Inc.",,132765465,7500,DYCD,Funding for GrowNYC Fresh Food Box (Year Round).
Schulman,"Council on the Environment, Inc.",Farmstand - Council District 29,132765465,9000,DYCD,Funds to support the operation of Farmstand Program in Council District 29.
Won,"Council on the Environment, Inc.",Fresh Food Box Program - Council District 26,132765465,7500,DYCD,"Funding to support the operations of GrowNYC, including the Fresh Food Box farm share program."
Powers,"Council on the Environment, Inc.",GrowNYC - Council District 4,132765465,20000,DYCD,Funding will support GrowNYC's greenmarkets and composting efforts in Council District 4.
Menin,"Council on the Environment, Inc.",GrowNYC - Council District 5,132765465,7500,DYCD,To support GrowNYC projects and programs in Council District 5.
Brannan,"Council on the Environment, Inc.",GrowNYC & Greenmarkets - Council District 43,132765465,6000,DYCD,Funding to support GrowNYC and the Greenmarkets in Council District 43.
Stevens,"Council on the Environment, Inc.",GrowNYC Green Space Programs - Council District 16,132765465,24371,DYCD,Funds will be used to support the creation or rejuvenation of a garden or urban farm in Council District 16.
Marte,CREATE in Chinatown,Chinatown Nights,200434850,5000,DCLA,To support the production and costs of Chinatown Nights.
Carr,"Crossroads Unlimited, Inc.",,710967724,8000,DYCD,"Funding to support programming/services including general operating expenses, staffing, rent, utilities, outreach and training."
Speaker,"Borelli Crossroads Unlimited, Inc.",,710967724,20000,DHMH,Funds will be used for programming and operations of Crossroads Unlimited.
Stevens,"Crotona Park Running Club, Inc.","New York Unity Race, Yoga & Wellness Programming",811164196,5000,DYCD,"Funds will support the New York Unity Race, Yoga & Wellness programming in Council District 16."
Speaker,"Hudson Crown Heights Jewish Community Council, Inc.",,237390996,100000,DYCD,"Funding to support the Social Service Center and Food Pantry that provides assistance in the areas of immigration, family crises intervention, employment assistance, food pantry, health insurance information, and other housing-related services."
Joseph,"Crown Heights Jewish Community Council, Inc.",Council District 40,237390996,7250,DYCD,"Funds will support Immigration, Family Crisis Intervention, Employment Assistance, Access to Entitlements, Health Insurance Information, Food Stamps Enrollment, Crime Victims Services. Ossé Crown Heights North Association, Inc."
,"Funds will support Immigration, Family Crisis Intervention, Employment Assistance, Access to Entitlements, Health Insurance Information, Food Stamps Enrollment, Crime Victims Services. Ossé Crown Heights North Association, Inc.",,200006693,20000,DYCD,Funding for CHNA's operations and for tree guards and greenery in Council District 36.
Hudson,"Crown Heights North Association, Inc.",Push To Preserve - District 35,200006693,5000,DYCD,"Funding to support community-wide services and goals, including park beautification, historic designation, and seminars."
Joseph,"Crown Heights Youth Collective, Inc.",,112506422,6000,DYCD,"Funds will support City Harvest fresh food, after-school tutoring and programming, food pantry and toiletry."
Won,Culture Lab LIC,Arts & Culture Programming,844694898,10000,DYCD,"Funding will support Arts and Culture Programming including outdoor concerts, art exhibitions, theatrical productions, artist residency programs, and community events. Page 60 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Lee,CUNY School of Law Justice & Auxiliary Services Corporation,,901013912,11000,CUNY,To support legal services within Council District 23.
Ung,CUNY School of Law Justice & Auxiliary Services Corporation,City Counseling Program,901013912,5000,CUNY,"To fund the provision of legal services, including advice and assistance in the areas of elder care, consumer and debt, foreclosures, immigrant, small business, family law, tenant issues."
Narcisse,CUNY School of Law Justice & Auxiliary Services Corporation,City Counseling Program - Council District 46,901013912,50000,CUNY,Funding to support legal information workshops and one-on-one legal counseling in Council District 46.
Won,CUNY School of Law Justice & Auxiliary Services Corporation,Community Legal Counseling Program,901013912,15000,CUNY,Funds will support legal counseling services to constituents of Council District 26.
Hudson,CUNY School of Law Justice & Auxiliary Services Corporation,Community Legal Resource Network,901013912,8500,CUNY,To fund 6 legal workshops with 10 follow-up sessions for constituents.
Adams,CUNY School of Law Justice & Auxiliary Services Corporation,Legal Services - Council District 28,901013912,38000,CUNY,Funds will support legal counseling services to constituents of Council District 28.
Jordan,CUNY School of Law Justice & Auxiliary Services Corporation,Legal Support - Council District 9,901013912,25000,CUNY,Funds will support CUNY School of Law to assist Council District 9 residents with legal issues.
Jordan,Custom Collaborative,Harlem Advocates for Woman,475036606,25000,SBS,"To support economic empowerment of women in Council District 9 through mentorship, technical assistance, workshops & training with activities taking place within Council District 9. Cabán Cypreco of America, Inc. - Greek Television Program"
,"To support economic empowerment of women in Council District 9 through mentorship, technical assistance, workshops & training with activities taking place within Council District 9. Cabán Cypreco of America, Inc.",Greek Television Program,112644226,5000,DOITT,Funds will be used to promote Cypriot folk arts television programming.
Nurse,Cypress Hills East New York Coalition,Gives Back,454625826,10000,DYCD,"Funds will support work for food pantry, supplies giveaways, family planning, immigrant resources, and more."
Nurse,"Cypress Hills Local Development Corporation, Inc.",East New York Community Center - Chestnut Commons,112683663,25000,DYCD,"Funds will support Chestnut Commons community center programming including youth and family services, college success, and workforce development programs."
Nurse,"Cypress Hills Local Development Corporation, Inc.",East New York Community Land Trust,112683663,20000,HPD,"Funds will help expand staff capacity and support research, administrative and communication work, and community outreach."
Nurse,"Cypress Hills Local Development Corporation, Inc.",Grow Brownsville,112683663,15000,DYCD,"Funds will support staff capacity for Grow Brownsville, including for the management and operations of the hydroponic farms and hyperlocal food production."
Rivera,"Dance Parade, Inc.",,208576378,5000,DCLA,Funds will support Dance Parade's educational programs and parade operations.
Abreu,Dance Project of Washington Heights,,471583227,5000,DCLA,Funding to support DPWH Pay-What-You-Can Adult Dance Classes in Council District 7.
De La Rosa,Dance Project of Washington Heights,Adult Classes,471583227,7000,DYCD,Funds for the programming of Pay what you can Adult Dance Classes .
Abreu,"Dance Theatre of Harlem, Inc.",,132642091,5000,DCLA,Funding to support DTH Arts Education and Community Engagement Programs in Council District 7.
Won,"Dances for a Variable Population, Inc.",Movement Speaks - Queensbridge Riis Senior Center,264572204,12000,DCLA,Funding to support the Movement Speaks dance workshops for low-income seniors and programming with the Queensbridge Senior Center.
Stevens,"Dances for a Variable Population, Inc.",MOVEMENT SPEAKS - William Hodson Senior Center & Highbridge Senior Center - Council District 16,264572204,10000,DCLA,Funding will support senior dance and community cultural programs: MOVEMENT SPEAKS® at the William Hodson Senior Center in Council District 16.
Hanif,"Dancewave, Inc.",,112726558,3500,DCLA,Funding to provide dance residencies to Council District 39 schools. Page 61 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Restler,"Dancewave, Inc.",Dance Residencies - Council District 33,112726558,5000,DCLA,"To provide high quality dance residencies to 6th, 7th and 8th grade students in Council District 33."
Ayala,"Dancing Classrooms, Inc.",Core Program Residences & After School Programming,222542960,5000,DCLA,To provide funding to support expenses associated with Dancing Classroom's arts and education programs.
Schulman,"Dancing Classrooms, Inc.",Core Program Residencies & After-School Programming,222542960,7000,DCLA,To support Dancing Classrooms Core Program Residencies and After-School Programming in Council District 29.
Speaker,"Sanchez Davidson Community Center, Inc.",,237010206,50000,SBS,To provide funding support for the Bridge Program for Workforce Development.
Feliz,"Davidson Community Center, Inc.",Council District 15 Programming,237010206,25000,DYCD,"Funds will go towards sanitation efforts, graffiti removal, and community events on Tremont Avenue."
Louis,"Day of Independence Committee of Panamanians of New York, Inc., The",Council District 45,113287926,5000,DYCD,"Funds will support Arts in Education initiatives that promote arts and culture in schools, and the community, as well as underserved and senior Cultural Community Development programs targeted at aiding underserved cultural groups in their development."
Farias,"Day One New York, Inc.",,061103000,10000,MOCJ,"Funds will support Prevention and Intervention to Address Dating Violence in Council District 18 in conjunction with Council Member and including but not limited to, community centers, NYCHAs, and educational and interfaith institutions."
Brooks-Powers,"Deerfield Area Association, Inc.",Council District 31,112877303,5000,DYCD,Funding will support the annual multi-cultural day activities aimed at bringing residents of the Far Rockaway community together in Council District 31. Cabán Department of Education - Baccalaureate Program @ Public School 151Q (30Q151)
,Funding will support the annual multi-cultural day activities aimed at bringing residents of the Far Rockaway community together in Council District 31. Cabán Department of Education,Baccalaureate Program @ Public School 151Q (30Q151),136400434,5000,DOE,Funding will be used to support the Baccalaureate program at P.S. 151Q.
Restler,Department of Education,Brooklyn Frontiers High School (15K423),136400434,1500,DOE,Funds will be used to support programming at Brooklyn Frontiers High School.
Ayala,Department of Education,Central Park East HS (04M555) / East Harlem Pride,136400434,5000,DOE,"To provide funding to the East Harlem Pride for Sports Equipment, Team Uniforms and Transportation Costs."
Restler,Department of Education,Cobble Hill School of American Studies (15K519),136400434,1000,DOE,Funds will be used to support an educational/cultural enrichment trip to Washington D.C.
Borelli,Department of Education,College of Staten Island High School for International Studies (31R047) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of College of Staten Island High School for International Studies.
Krishnan,Department of Education,Community School District 30 Queens,136400434,5000,DOE,Funds will be used to support parent workshops in School District 30.
Hanks,Department of Education,Concord High School 470R (31R470),136400434,1000,DOE,Funds will be used by the PTA at Concord High School (31R470).
Hanks,Department of Education,Curtis High School (31R450),136400434,1000,DOE,Funds will be used by the PTA at Curtis High School (31R450).
Hanks,Department of Education,"District 31, Region 7 - Federation of PTAs",136400434,3000,DOE,"Funds will support the District 31, Region 7, Federation of PTAs."
Hanks,Department of Education,Eagle Academy For Young Men of Staten Island 28R (31R028),136400434,1000,DOE,Funds will be used by the PTA at the Eagle Academy for Young Men of Staten Island (31R028).
Schulman,Department of Education,Forest Hills High School (28Q440),136400434,5000,DOE,"Funding to support the ""We the People Program"" and the ""Economic Program"" at Forest Hills High School in Queens."
Hanks,Department of Education,Fort Hill Collaborative Elementary School 10R (31R010),136400434,1000,DOE,Funds will be used by the PTA at P.S. 10 Fort Hill Collaborative Elementary School (31R010). Page 62 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Borelli,Department of Education,Gaynor McCown High School (31R064) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Gaynor McCown High School.
Restler,Department of Education,George Westinghouse High School (13K605),136400434,3500,DOE,Funds will be used to support ballroom dancing coursework.
Borelli,Department of Education,Intermediate School 24R (31R024) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Intermediate School 24R.
Hanks,Department of Education,Intermediate School 27R (31R027),136400434,1000,DOE,Funds will be used by the PTA at I.S. 027 Anning S. Prall (31R027).
Borelli,Department of Education,Intermediate School 34R (31R034) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Intermediate School 34R.
Hanks,Department of Education,Intermediate School 49R (31R049),136400434,1000,DOE,Funds will be used by the PTA at I.S.49 Bertha A. Dreyfus School (31R049).
Hanks,Department of Education,Intermediate School 61R (31R061),136400434,1000,DOE,Funds will be used by the PTA at I.S.61 William A. Morris School (31R061).
Borelli,Department of Education,Intermediate School 63R (31R063) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Intermediate School 63R.
Hanks,Department of Education,Intermediate School 68R (31R068),136400434,1000,DOE,Funds will be used by the PTA at P.S.68 Port Richmond School for Visionary Learning (31R068).
Borelli,Department of Education,Intermediate School 72R (31R072) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Intermediate School 72R.
Borelli,Department of Education,Intermediate School 75R (31R075) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Intermediate School 75R.
Borelli,Department of Education,Intermediate School 7R (31R007) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Intermediate School 7R.
Vernikov,Department of Education,James Madison HS (22K425) Memorial,136400434,2500,DOE,"Funds to create a memorial garden area at James Madison High School (22K425),"
Brooklyn,for student who passed away. Ung Department of Education,Junior High School 189Q Daniel Carter Beard (25Q189),136400434,3000,DOE,Funds will be used to purchase fitness trackers for JHS 189Q Daniel Carter Beard Middle School as part of a student civic project where students presented their funding request to the Councilmember.
Brewer,Department of Education,Middle School 250M (03M250),136400434,12000,DOE,Funds will provide school field trips at Middle School 250M West Side Collaborative Middle School (03M250).
Brewer,Department of Education,Middle School 256M (03M250),136400434,10000,DOE,Funds will support enrichment programming and activities at Middle School 256M School of Academic and Athletic Excellence (03M250).
Brewer,Department of Education,Middle School 258M (03M258),136400434,15000,DOE,Funds will support 7th grade trip and other enrichment for Middle School 258M Community Action School (03M258).
Restler,Department of Education,Middle School 577K Conselyea Preparatory School (14K577),136400434,2000,DOE,"Funds will be used to provide a field trip to historical Williamsburg, Virginia to support its American Studies program."
Brewer,Department of Education,Middle School M245 (03M245),136400434,10000,DOE,Funds will support artist residency programming at Middle School 245M The Computer School (03M245).
Schulman,Department of Education,Parents Association Public School 144Q (28Q144),136400434,1000,DOE,Funds are to support the Parents Association at Public School 144Q.
Hanks,Department of Education,Port Richmond High School - Boy's Track & Field Team,136400434,5000,DOE,Funds will support the Port Richmond High School Boy's Track & Field Team.
Hanks,Department of Education,Port Richmond High School - Girls Cross Country/Track & Field,136400434,5000,DOE,Funds will support the Port Richmond High School Girls Cross Country/Track & Field program.
Hanks,Department of Education,Port Richmond High School (31R445),136400434,1000,DOE,Funds will be used by the PTA at Port Richmond High School (31R445). Page 63 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Won,Department of Education,Public School / Intermediate School 78Q (30Q078) - Mandarin program,136400434,16000,DOE,The funds will be used to support P.S./I.S. 78Q's [BLD:Q312 SCH:Q078] Mandarin program.
Restler,Department of Education,Public School 034K Oliver H. Perry (14K034),136400434,2000,DOE,Funds will be used to support wellness themed enrichment programs.
Restler,Department of Education,Public School 034K Oliver H. Perry (14K034) - PTA,136400434,2000,DOE,Funds will be used to support programming of P.S. 34K Oliver H Perry PTA.
Restler,Department of Education,Public School 038K The Pacific (15K038),136400434,2000,DOE,Funds will be used to support urban farm programming at P.S. 38K.
Paladino,Department of Education,Public School 094Q David D. Porter (26Q094) Music & Coding Classes,136400434,5000,DOE,Funding will support music and coding classes at Public School 94Q (26Q094) in Queens.
Restler,Department of Education,Public School 110K The Monitor (14K110),136400434,2000,DOE,To support art residencies at Public School 110K.
Ariola,Department of Education,Public School 114Q (27Q114) - Belle Harbor School,136400434,15000,DOE,The funds are for the purchase of teachers college reading kits at Public School 114Q - the Belle Harbor School.
Carr,Department of Education,Public School 11R (31R011),136400434,5000,DOE,Funds will be used for Academic Intervention Services.
Jordan,Department of Education,Public School 123M Mahalia Jackson (05M123),136400434,20000,DOE,Funds will support early childhood culturally and historically relevant literacy program in Public School 123M Mahalia Jackson (05M123).
Jordan,Department of Education,Public School 125M Ralph Bunche (05M125),136400434,20000,DOE,Funds will support early childhood culturally and historically relevant literacy program at Public School 125 Ralph Bunche (05M125).
Schulman,Department of Education,Public School 139Q (28Q139),136400434,7000,DOE,"Funding to be used for programming either Percussion drumming, Circus Arts, Dance on Broadway, Yoga, and Dancing Classrooms in Council District 29."
Hanks,Department of Education,Public School 13R (31R013),136400434,1000,DOE,Funds will be used by the PTA at P.S.13 M. L. Lindemeyer School (31R013).
Jordan,Department of Education,Public School 154M Harriet Tubman (05M154),136400434,20000,DOE,Funds will support early childhood culturally and historically relevant literacy program in Public School 154M Harriet Tubman (05M154).
Brewer,Department of Education,Public School 166M (03M166),136400434,5000,DOE,Funds will support the chess residence program at PS 166M The Richard Rodgers School of the Arts and Technology (03M166).
Hanks,Department of Education,Public School 16R (31R016),136400434,1000,DOE,Funds will be used by the PTA at P.S.16 John J. Driscoll School (31R016).
Jordan,Department of Education,Public School 175M Henry Highland Garnet (05M175),136400434,20000,DOE,Funds will support early childhood culturally and historically relevant literacy program in consultation with Public School 175M Henry Highland Garnet (05M175).
Menin,Department of Education,Public School 183M Robert L. Stevenson (02M183),136400434,5000,DOE,"To support staff, materials and supplies for the Public School 183M Robert L. Stevenson (02M183) art show at Sotheby's."
Hanks,Department of Education,Public School 18R (31R018),136400434,1000,DOE,Funds will be used by the PTA at P.S.18 John G. Whittier School (31R018).
Brewer,Department of Education,Public School 191M (03M191),136400434,30000,DOE,Funds to support the Mandarin program and professional development at Public School 191M The Riverside School for Makers (03M191).
Hanks,Department of Education,Public School 19R (31R019),136400434,1000,DOE,Funds will be used by the PTA at P.S.19 The Curtis School (31R019).
Borelli,Department of Education,Public School 1R (31R001) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 1R.
Ariola,Department of Education,Public School 207Q (27Q207) - Rockwood Park School,136400434,15000,DOE,The funds are for teacher training and professional development at Public School 207Q - the Rockwood Park School. Page 64 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Hanks,Department of Education,Public School 20R (31R020),136400434,1000,DOE,Funds will be used by the PTA at the P.S. 20 Port Richmond School (31R020).
Hanks,Department of Education,Public School 21R (31R021),136400434,1000,DOE,Funds will be used by the PTA at the P.S. 21 Margaret Emeryelm Park School (31R021).
Hanks,Department of Education,Public School 22R (31R022),136400434,1000,DOE,Funds will be used by the PTA at the P.S.22R Graniteville School (31R022).
Borelli,Department of Education,Public School 25R (75R025) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 25R.
Hudson,Department of Education,Public School 287K Bailey K. Ashford (13K287) - Reading Program,136400434,1000,DOE,"To fund supplies and programming, including a school wide celebration and trophies, for students participating in PS 287's Reading Program at Public School 287K Bailey K. Ashford (13K287) ."
Hanks,Department of Education,Public School 31R (31R031),136400434,1000,DOE,Funds will be used by the PTA at the P.S.31 William T. Davis School (31R031).
Borelli,Department of Education,Public School 32R (31R032) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 32R.
Hanks,Department of Education,Public School 35R (31R035),136400434,1000,DOE,Funds will be used by the PTA at The Clove Valley School (31R035).
Borelli,Department of Education,Public School 36R (31R036) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 36R.
Hanks,Department of Education,Public School 373R (31R373),136400434,1000,DOE,Funds will be used by the PTA at P.S.373 (31R373).
Ariola,Department of Education,Public School 377Q (27Q377),136400434,13000,DOE,Funds will be used to support curriculum and professional development at Public School 377Q.
Carr,Department of Education,Public School 37R (75R037),136400434,10000,DOE,Funds will be used for Services for Autistic Students.
Borelli,Department of Education,Public School 37R (75R037) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 37R.
Restler,Department of Education,Public School 380K John Wayne Elementary (14K380),136400434,2000,DOE,Funds will be used to support after-school programming.
Borelli,Department of Education,Public School 3R (31R003) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 3R.
Borelli,Department of Education,Public School 42R (31R042) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 42R.
Hanks,Department of Education,Public School 44R (31R044),136400434,1000,DOE,Funds will be used by the PTA at the P.S.44 Thomas C. Brown School (31R044).
Brewer,Department of Education,Public School 452M (03M452),136400434,8000,DOE,Funds will support chess in school enrichment programming at Public School 452M (03M452).
Hanks,Department of Education,Public School 45R (31R045),136400434,1000,DOE,Funds will be used by the PTA at the P.S.45 John Tyler School (31R045).
Carr,Department of Education,Public School 46R (31R046),136400434,5000,DOE,Funds will be used for Academic Intervention Services.
Borelli,Department of Education,Public School 4R (31R004) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 4R.
Carr,Department of Education,Public School 50R (31R050),136400434,5000,DOE,Funds will be used for Academic Intervention Services.
Borelli,Department of Education,Public School 53R (31R053) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 53R. Page 65 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Borelli,Department of Education,Public School 55R (31R055) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 55R.
Borelli,Department of Education,Public School 56R (31R056) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 56R.
Hanks,Department of Education,Public School 57R (31R057),136400434,1000,DOE,Funds will be used by the PTA at the P.S.57 Hubert H. Humphrey School (31R057).
Borelli,Department of Education,Public School 58R (31R058) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 58R.
Hanks,Department of Education,Public School 59R (31R059),136400434,1000,DOE,Funds will be used to provide students with 12-15 trips per year and per grade.
Hanks,Department of Education,Public School 59R (31R059),136400434,1000,DOE,Funds will be used by the PTA at The Harbor View School (31R059).
Borelli,Department of Education,Public School 5R (31R005) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 5R.
Borelli,Department of Education,Public School 62R (31R062) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 62R.
Hanks,Department of Education,Public School 65R (31R065),136400434,1000,DOE,Funds will be used by the PTA at the P.S.65 Academy of Innovative Learning school (31R065).
Borelli,Department of Education,Public School 69R (31R069) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 69R.
Borelli,Department of Education,Public School 6R (31R006) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 6R.
Hanks,Department of Education,Public School 74R (31R074),136400434,1000,DOE,Funds will be used by the P.S.74 Future Leaders Elementary School (31R074).
Hanks,Department of Education,Public School 78R (31R078),136400434,1000,DOE,Funds will be used by the PTA at P.S.78 (31R078).
Brewer,Department of Education,Public School 84M (03M084),136400434,10000,DOE,Funds will support interdisciplinary food production programming at Public School 84M Lillian Weber (03M084).
Borelli,Department of Education,Public School 8R (31R008) - PTA,136400434,3000,DOE,Funds will be used to support the Parent Teacher Association of Public School 8R.
