item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
43,Department of Youth and Community Development,260,401; 402,2,"August 1, 2025; December 31, 2024; February 1, 2025; January 1, 2025; July 1, 2024; June 30, 2025","on July 1, 2024 to on December 31","As a condition of funds in units of appropriation 401 and 402 in the Department of Youth and Community Development’s (“DYCD”) budget, DYCD shall provide to the Council semiannual reports to the Council, on daily engagements for all Crisis Management Systems programs (CURE, Youth Enrichment Services, and Community Healing Services) programs, disaggregated by site location. DYCD shall include information on the total number of contracts, total number of providers, total number of headcount, the award amount, the precinct and borough in which the services takes place, catchment area and the programming that is held at each event. The reporting shall also include a breakdown of costs, and shall include personal services (“PS”) costs, including but not limited to overtime; other than personal services (“OTPS”) costs including costs of any associated contracts. These semi-annual reports shall be submitted on February 1, 2025 covering the period beginning on July 1, 2024 and ending on December 31, 2024 and on August 1, 2025 covering the period beginning on January 1, 2025 and ending on June 30, 2025."
44,Health and Hospitals Corporation,819,001,1,"January 31, 2025",,"As a condition of the funds in unit of appropriat ion number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council, no later than January 31, 2025, a report on budgeted and actual headcount for H+H's correctional health staff by title."
45,Health and Hospitals Corporation,819,001,1,"April 1, 2025; April 30, 2025; December 31, 2024; January 1, 2025; July 1, 2024; July 30, 2025; June 30, 2025; March 31, 2025; October 1, 2024; October 30, 2024; September 30, 2024","July 1, 2024 to September 30","As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council quarterly reports identifying H+H's actual full- time headcount, disaggregated by job title grouping. Reports must also include variance reports against the end of June of the previous fiscal year. These quarterly reports shall be submitted on: (i) October 30, 2024, covering the period beginning July 1, 2024 and ending September 30, 2024; (ii) Ja nuary 30, 2025, covering the period beginning October 1, 2024 and ending December 31, 2024; (iii) April 30, 2025, covering the period beginning January 1, 2025 and ending March 31, 2025 and (iv) July 30, 2025 covering the period beginning April 1, 2025 and ending June 30, 2025."
46,Health and Hospitals Corporation,819,001,1,"December 31, 2024; February 15, 2025; January 1, 2024","January 1, 2024 to on December 31","As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council, no later than February 15, 2025, a report on the hospital utilization rate of beds and the average length of stay, in total and disaggregated by hospital. Such report shall cover the period beginning January 1, 2024 and ending on December 31, 2024."
47,Health and Hospitals Corporation,819,001,1,"August 1, 2025",,"As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall report on its website a list of H+H pediatric emergency rooms including locations and available services. Such report shall be on the H+H website by August 1, 2025."
48,Human Resources Administration,069,105; 112; 205; 212,4,,,"As a condition of the funds in unit of appropriation numbers 105, 112, 205, and 212, the Human Resources Administration (“HRA”) and the Mayor’s Office to End Domestic and Gender-Based Violence (“ENDGBV”) shall work collaboratively to submit to the Council a report that reflects the ENDGBV funding in its entirety including the total budget of ENDGBV, the total budget by program area, and the total headcount for ENDGBV. Such report shall be submitted within seven business days of each financial plan release."
49,Human Resources Administration,069,103; 107; 201; 203; 207,5,,,"As a condition of the funds in unit of appropriation numbers 103, 107, 201, 203 and 207, the Office of Civil Justice (“OCJ”) and Human Resources Administration (“HRA”) shall submit to the Council a report that reflects OCJ's funding in its entirety including the total budget of OCJ and its relevant budget codes, the total budget broken out by program area and the budget code for each, and the total headcount for OCJ and the respective budget codes. Such report shall be submitted within seven business days of the release of each financial plan."
50,Mayoralty,002,091,1,"August 1, 2025; December 31, 2024; December 31, 2025; February 1, 2025; February 1, 2026; January 1, 2025; July 1, 2024; June 30, 2025","July 1, 2024 to December 31","As a condition of the funds in the unit of appropriation 091, the Mayor’s Office of Contract Services (“MOCS”) shall submit bi-annual reports of the agencies entering into, renewing or extending a services contract entered into pursuant to an emergency declaration. Such reports shall include, for each agency, the number and value of all emergency contracts entered into, renewed, or extended, and the names of vendors selected pursuant to these contracts. This bi-annual report shall be submitted every six months, with the first report due on February 1, 2025 for the period beginning July 1, 2024 and ending December 31, 2024. Subsequent reports will be due on August 1, 2025 for the period beginning January 1, 2025 and ending June 30, 2025; and February 1, 2026 for the period beginning on Jul y 1, 2025 and ending on December 31, 2025."
51,Capital Budget for the New York City Housing Authority,806,,0,"December 31, 2024; February 1, 2025; January 1, 2025; July 1, 2024; June 30, 2025","on July 1, 2024 to on December 31","Budget Line HA-0001 – All Projects As a condition of the funds in budget line HA-0001 for the Vacant Unit Readiness Program at the New York City Housing Authority (“NYCHA”), NYCHA shall submit to the Council semi -annual reports detailing the status of improvements to be made with Vacant Unit Readiness Program (""program"") funding. Such report shall include the total budget for the program in each year of the Financial Plan, disaggregated by funding source and whether capital or expense; the number of units completed, , where the tenant has been selected for move- in, or is non -dwelling; the number of units in the program by development (disaggregated by borough and Council Member), and whether the development is in PACT or the Preservation Trust. These semi-annual reports shall be submitted on February 1, 2025 covering the period beginning on July 1, 2024 and ending on December 31, 2024 and on August 1, 2 025 covering the period beginning on January 1, 2025 and ending on June 30, 2025."
52,Capital Budget for New York City Housing Authority,806,,0,"December 31, 2024; February 15, 2025; January 1, 2024","January 1, 2024 to on December 31","Budget Line HA-0001 – All Projects As a condition of the funds in budget line HA -0001 for the Roof Repair Program at the New York City Housing Authority (“NYCHA”), NYCHA shall submit to the Council, no later than February 15, 2025 , a report detailing the categories of physical improvements made with the Roof Repair Program funding. Such report shall include the total budget for roof repair, disaggregated by funding source, and the number of physical improvements that have been completed or for which construction has begun, disaggregated by physical improvement type (i.e. simple repairs, where the roof can be replaced without work on perimeter walls; moderate repairs, where the roof will be replaced and repairs are needed to perimeter parapet walls; or complex repairs, where the roof and perimeter parapet walls both need to be replaced) and the location of each improveme nt completed or for which construction has begun. Such report shall also include the current construction phase and the anticipated timeline of each subsequent construction phase for each project (i.e. design, construction, water shut down, closeout). Such report shall cover the period beginning January 1, 2024 and ending on December 31, 2024."
53,Capital Budget for New York City Office of Technology and Innovation,858,,0,"April 1, 2025; December 15, 2024; December 31, 2024; January 1, 2025; July 1, 2024; June 15, 2025; June 30, 2025; March 15, 2025; March 31, 2025; October 1, 2024; September 15, 2025; September 30, 2024","July 1, 2024, to September 30","Budget Line DP-0001– All Projects Budget Line DP-0002 – All Projects As a condition of funds in budget lines DP-0001 and DP-0002, the New York City Office of Technology and Innovation ( “OTI”) shall submit to the Council, on an quarterly basis, a report detailing spending for DOITT’s capital projects, including but not limited to, how spending is distributed across hardware, software, physical structures, land, cloud services, and other platforms. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 2024, and ending September 30, 2024, such report shall be s ubmitted by December 15, 2024; (ii) for the period beginning October 1, 2024, and ending December 31, 2024, the report shall be submitted by March 15, 2025; (iii) for the period beginning January 1, 2025, and ending March 31, 2025, the report shall be submitted by June 15, 2025; and (iv) for the period beginning April 1, 2025, and ending June 30, 2025, the report shall be submitted by September 15, 2025."
54,New York City Police Department,056,001; 100,2,"January 30, 2025; September 30, 2024",,"As a condition of the funds in unit of appropriation numbers 001 and 100, the New York Police Department (“NYPD”) shall consult with the Department of Education (“DOE”) and Department of Transportation (“DOT”) and submit two reports regarding school crossing guard intersection locations. The first report shall be submitted no later than September 30, 2024 and shall be based on deployments as of the second week of September 2024. The second report shall be submitted no later than January 30, 2025 and shall be based on deployments as of the second week of January 2025. The reports shall include: 1) the criteria utilized to determine school crossing guard intersections and crossing guard allocations; 2) each location; 3) detail any changes to the school crossing guard training manual and patrol guide sections related to crossing guard deployment; and 4) detail, for both crossing guards and crossing guard supervisors, i) the budgeted headcount, ii) actual headcount, and iii) vacancies, disaggregated by patrol borough an d precinct and provided in a machine-readable format."
55,New York City Police Department,056,001; 002; 003; 004; 006; 007; 008; 009; 010; 016; 020; 024,12,"April 1, 2025; December 15, 2024; December 31, 2024; January 1, 2025; July 1, 2024; June 15, 2025; June 30, 2025; March 15, 2025; March 31, 2025; October 1, 2024; September 15, 2025; September 30, 2024","July 1, 2024 to September 30","As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004, 006, 007, 008, 009, 010, 016, 020 and 024 the New York Police Department (“NYPD” or the ""Department"") shall submit quarterly reports to the Council regarding uniformed overtime. Such report shall include the following information: 1) the total overall uniformed overtime spending by precinct; and 2) the total overall uniformed hours by precinct; 3) uniformed overtime spending by category by Patrol Borough; 4) FY23-25 comparison uniform overtime by category: including i) Arrest; ii) Investigations; iii) Operational; iv) Atlas; v) Crime Reduction; vi) Transit Safety; vii) Events /Details; ix) Reimbursable Programs. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 2024 and ending September 30, 2024, the report shall be submitted by December 15, 2024; (ii) for the period beginning October 1, 2024 and ending December 31, 2024, the report shall be submitted by March 15, 2025; (iii) for the period beginning January 1, 2025 and ending March 31, 2025, the report shall be submitted by June 15, 2025; and (iv) for the period beginning April 1, 2025 and ending June 30, 2025, the report shall be submitted by September 15, 2025."
56,New York City Police Department,056,001; 100,2,"December 31, 2024; January 1, 2025; January 15, 2025; July 1, 2024; July 15, 2025; June 30, 2025","July 1, 2024 to December 31","As a condition of funds appropriated in units of appropriation 001 and 100 for the New York City Police Department (""NYPD"" or ""the Department""), the Department shall submit to the Council an annual report detailing the number of deployments of the Strategic Response Group disaggregated by the Strategic Response Group command deployed and borough in which such units were deployed. The first report shall be submitted on or before January 15, 2025 and shall cover the period beginning July 1, 2024 and ending December 31, 2024. The second report shall be submitted on or before July 15, 2025 and shall cover the period beginning January 1, 2025 and ending June 30, 2025."
57,Department of Citywide Administrative Services,856,190; 490,2,,,"Department of Design and Construction (850) Unit of Appropriation [001] Unit of Appropriation [002] Unit of Appropriation [004] Department of Emergency Management (017) Unit of Appropriation [001] Unit of Appropriation [002] Department of Health and Mental Hygiene (816) Unit of Appropriation [101] Unit of Appropriation [102] Unit of Appropriation [103] Unit of Appropriation [104] Unit of Appropriation [105] Unit of Appropriation [107] Unit of Appropriation [108] Unit of Appropriation [109] Unit of Appropriation [111] Unit of Appropriation [112] Department of Homeless Services (071) Unit of Appropriation [100] Unit of Appropriation [200] Department of Housing Preservation and Development (806) Unit of Appropriation [001] Unit of Appropriation [002] Unit of Appropriation [003] Unit of Appropriation [004] Unit of Appropriation [006] Unit of Appropriation [014] Department of Youth and Community Development (260) Unit of Appropriation [005] Unit of Appropriation [204] Unit of Appropriation [311] Unit of Appropriation [312] Health and Hospitals Corporation (819) Unit of Appropriation [001] Human Resources Administration (069) Unit of Appropriation [101] Unit of Appropriation [201] New York City Office of Technology and Innovation (858) Unit of Appropriation [002] New York City Police Department (056) Unit of Appropriation [001] Unit of Appropriation [100] Unit of Appropriation [002] Unit of Appropriation [200] As a condition of the funds in units of appropriation 100 and 200 for the Department of Homeless Services (""DHS""), 101 and 201 for the Human Resources Administration (""HRA""), 001 for Health + Hospitals (""H+H""), 001 and 002 for New York City Emergency Manage ment (""NYCEM""), 101, 102, 103, 104, 105, 107, 108, 109, 011, and 112 for the Department of Health and Mental Hygiene (""DOHMH""), 190 and 490 for the Department of Citywide Administrative Services (""DCAS""), 001, 002, and 004 for the Department of Design and Construction (""DDC""), 002 for the New York City Office of Technology and Innovation (""OTI""), 001, 002, 003, 004, 006, and 014 for the Department of Housing Preservation and Development (""HPD""), 001, 100, 002, 200 for the New York City Police Department (""NYPD""), 005, 204, 311, and 312 for the Department of Youth and Community Development (""DYCD""), the Administration shall submit a single monthly report, with the following information included for each agency where asylum seeker response funding has been bud geted, to the Council by the 10th calendar day of the succeeding month (or the following business day if such day falls on a non-business day) on data as of the last business day of such month (including information as of the most recent financial plan). (a) (i) budgeted and estimated expenditures related to the asylum seeker response, broken down by agency and expense type (including, but not limited to, food, rent, social services, security services, funding allocated to agency staff and staff overtime); (ii) the current and projected per diem rates and a list of the expenses included in the per diem; (iii) for each agency providing temporary housing to asylum seekers, a breakdown of the number of households and individuals currently served, by populatio n type (single adults, adult families, families with children); (iv) for each agency providing temporary housing to asylum seekers, the number of sites operating broken out by population type served (single adults, adult families, families with children) and facility type (including but not limited to, hotels, shelters, humanitarian emergency response and relief centers, respite centers, and any other new site type); and (v) for each agency providing temporary housing to asylum seekers, the number of househ olds and individual clients who exited and entered care in each week of the past month, broken down by population type (single adults, adult families, families with children) . For exits, the number of individual clients who exited as a result of participat ing in the DHS move -out incentive payment program or any other City program or policy; (b) a breakdown of budgeted State and federal funding for asylum response efforts, by agency and program or grant; (c) information related to current contracts for the provision of asylum response efforts: (i) the agency administering the contract; (ii) the contract identification number; (iii) the name of the contractor; (iv) the contracted goods and/or services; (v) the agencies benefiting from such goods or services; (vi) the procurement method of the contract; (vii) the contract value; and (viii) the term of the contract, including contract start date, end date, and if any extensions are possible; and (d) population counts, by the following demographic information, on individual asylum seekers in the City's care: (i) age; (ii) gender identity; (iii) country of origin; (iv) languages spoken; (v) educational degree; and (vi) prior work experience. This reporting shall also apply to any other agency or unit of appropriation not expressly listed herein that has budgeted funding and/or actual expenditures related to asylum response efforts."
58,Department of Correction,072,001; 002; 005; 006,4,"October 15, 2024",,"Department of Sanitation (827) Unit of Appropriation [101] Unit of Appropriation [102] Unit of Appropriation [103] Unit of Appropriation [104] Unit of Appropriation [105] Unit of Appropriation [107] Fire Department (057) Unit of Appropriation [001] Unit of Appropriation [002] Unit of Appropriation [003] Unit of Appropriation [004] Unit of Appropriation [005] Unit of Appropriation [006] Unit of Appropriation [007] Unit of Appropriation [008] New York City Police Department (056) Unit of Appropriation [001] Unit of Appropriation [002] Unit of Appropriation [003] Unit of Appropriation [004] Unit of Appropriation [006] Unit of Appropriation [007] Unit of Appropriation [008] Unit of Appropriation [009] Unit of Appropriation [010] Unit of Appropriation [016] Unit of Appropriation [020] As a condition of the funds in unit of appropriation numbers 001, 002, 00 5, and 006, the Department of Correction (“DOC”) shall submit to the Council, no later than October 15, 2024, a report detailing the demographics of uniformed personnel, including gender, race, and ethnicity. Such information shall be disaggregated by rank, gender, race, and ethnicity. As a condition of the funds in unit of appropriation numbers 101, 102, 103, 104, 105, and 107, the Department of Sanitation (“DSNY”) shall submit to the Council, no later than October 15, 2024, a report detailing the demographics of uniformed personnel, including gender and race. Such information shall be disaggregated by rank, gender, and race. As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004, 005, 006, 007, and 008, the Fire Department (“FDNY”) shall su bmit to the Council, no later than October 15, 2024, a report detailing the demographics of uniformed personnel and the demographics of all Emergency Medical Services personnel, including gender, race, and ethnicity. Such information shall be disaggregated by rank or title, gender, race, and ethnicity. As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004,006, 007, 008, 009, 010, 016, and 020 the New York Police Department (“NYPD”) shall submit to the Council, no later than October 15, 2024, a report detailing the demographics of uniformed personnel, including gender, race, and ethnicity. Such information shall be disaggregated by rank, gender, race, and ethnicity."
59,Department of Correction,072,003,1,"December 31, 2024; January 1, 2025; January 15, 2025; July 1, 2024; July 15, 2025; June 30, 2025","July 1, 2024 to December 31","Office of Criminal Justice Coordinator (128) Unit of Appropriation [001] As a condition of the funds in unit of appropriation 003 of the Department of Correction (the ""DOC"") and unit of appropriation 001 of the Office of the Criminal Justice Coordinator (""MOCJ""), DOC and MOCJ shall submit a 2-year forecast or relevant plausible policy impact models, given the makeup of the actual observed jail population and related trends. Such forecast or impact models shall include the methodology of such forecast or impact models . In addition, such forecast or impact models shall also includ e the projected impact of proactive policy strategies, as practicable, such as Alternatives to Incarceration, Supervised Release, and Electronic Monitoring programs on the jail population across the period. The first report shall be submitted on or before January 15, 2025 and shall cover the period beginning July 1, 2024 and ending December 31, 2024. The second report shall be submitted on or before July 15, 2025 and shall cover the period beginning January 1, 2025 and ending June 30, 2025."
60,Department of Education,040,423; 424,2,"April 1, 2025; August 1, 2025; December 31, 2024; February 1, 2025; January 1, 2025; July 1, 2024; June 30, 2025; March 31, 2025; May 1, 2025; November 1, 2024; October 1, 2024; September 30, 2024","July 1, 2024 to September 30","Department of Health and Mental Hygiene (816) Unit of Appropriation [103] Unit of Appropriation [113] Health and Hospitals Corporation (819) Unit of Appropriation [001] As a condition of funds in unit of appropriation numbers 103 and 113 in the Department of Health and Mental Hygiene’s (“DOHMH”) budget, unit of appropriation numbers 423 and 424 in the Department of Education’s (“DOE”) budget, and unit of appropriation number 001 in t he Health and Hospitals Corporation’s (“H+H”) budget, DOHMH, DOE, and H+H shall submit to the Council quarterly reports identifying the number of full -time equivalent employees and contracted nurses hired by each agency, disaggregated by title if applicable, the salary range, and a listing of schools being served. These quarterly reports shall be submitted on: (i) November 1, 2024, covering the period beginning July 1, 2024 and ending September 30, 2024; (ii) February 1, 2025, covering the period beginning October 1, 2024 and ending December 31, 2024; (iii) May 1, 2025, covering the period beginning January 1, 2025 and ending March 31, 2025 and (iv) August 1, 2025 covering the period beginning April 1, 2025 and ending June 30, 2025."
61,Department of Environmental Protection,826,001,1,"August 31, 2025; December 1, 2024; December 10, 2024; February 28, 2024; June 1, 2025; June 10, 2025; March 1, 2025; March 10, 2025; May 31, 2025; November 30, 2024; September 1, 2024; September 10, 2025","September 1, 2024 to November 30","Department of Finance (836) Unit of Appropriation [001] Department of Housing Preservation and Development (806) Unit of Appropriation [001] As a condition of the funds appropr iated in unit of appropriation 001 for the Departments of Finance, Housing Preservation and Development, and Environmental Protection (collectively the ""Departments""), the Departments shall submit to the Council quarterly reports detailing the outreach efforts made to individuals and entities with outstanding or delinquent property tax, water (subject to agreement of the Water Board) and any other fees or fines. Such reports shall include the frequency of outreach made to such individuals and/or entities and the type of outreach made. These quarterly reports shall be submitted on: (i) December 10, 2024 , covering the period beginning September 1, 2024 and ending November 30, 2024; (ii) March 10, 2025, covering the period beginning December 1, 2024 and ending February 28, 2024 ; (iii) June 10, 2025, covering the period beginning March 1, 2025 and ending May 31, 2025; and (iv) September 10, 2025, covering the period beginning June 1, 2025 and ending August 31, 2025."
62,Department of Health and Mental Hygiene,816,103; 113,2,"June 30, 2025",,"Health and Hospitals Corporation (819) Unit of Appropriation [001] As a condition of the funds in unit of appropriation number 001 in the Health and Hospitals Corporation’s (“H+H”) budget and unit of appropriation numbers 103 and 113 in the Department of Health and Mental Hygiene’s (“DOHMH”) budget, H+H and DOHMH shall submit to the Council, no later than June 30, 2025, a report on City Health Department programs providing re sources related to doulas and midwives, disaggregated by borough and aggregated citywide."
63,Department of Youth and Community Development,260,312; 005,2,,,"New York City Office of Technology and Innovation (858) Unit of Appropriation [002] As a condition of the funds in units of appropriation 312 and 005 in the Department of Youth and Community Development (""DYCD"") and 002 in the New York City Office of Technology and Innovation (""OTI"") (collectively the “Departm ents”), the Departments shall submit a report within seven business days of the release of the financial plan, detailing the following information: (i) budget code(s) for funding associated with the New York City Housing Authority; (ii) amount of the fundi ng in each such budget code(s); (iii) whether such budget code(s) include funding for any other function; and (iv) amount of the funding for each such other function(s) as applicable. Such report shall be submitted within 30 days of the release of each financial plan."
64,Department of Youth and Community Development,260,311; 312,2,"April 1, 2025; August 1, 2025; December 31, 2024; February 1, 2025; January 1, 2025; July 1, 2024; June 30, 2025; March 31, 2025; May 1, 2025; November 1, 2024; October 1, 2024; September 30, 2024","July 1, 2024 to September 30","New York City Police Department (056) Unit of Appropriation [001] As a condition of funds in units of appropriations 311 and 312 in the Department of Youth and Community Development’s (“DYCD”) budget and in unit of appropriation 001 in the New York Police Department’s (“NYPD”) budget, DYCD and NYPD shall provide to the Council quarterly reports on daily attendance numbers at Saturday Night Lights programs, disaggregated by site location. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 2024 and ending September 30, 2024, the report shall be submitted by November 1, 2024; (ii) for the period beginning October 1, 2024 and ending December 31, 2024, the report shall be submitted by February 1, 2025; (iii) for the period beginning January 1, 2025 and ending March 31, 2025, the report shall be submitted by May 1, 2025; and (iv) for the period beginning April 1, 2025, and ending June 30, 2025 the report shall be submitted by August 1, 2025. DYCD and NYPD shall ensure that there is programming for the disabled and the report submitted on April 1, 2025 shall also include information on the total annual bu dget for the Saturday Night Lights program, the locations in which the programming takes place, and the programming and activities that are held at each event and if each program or activity are available and accessible to people with disabilities. The reporting shall also include a breakdown of costs disaggregated by agency, and shall include personal services (“PS”) costs, including but not limited to overtime; other than personal services (“OTPS”) costs; and costs of any associated contracts."
65,Fire Department,057,009; 010,2,"November 15, 2024",,"New York City Police Department (056) Unit of Appropriation [001] Unit of Appropriation [004] Unit of Appropriation [016] As a condition of the funds in units of appropriations 001, 004 and 016 in the New York City Police Department's (""NYPD"") budget and in unit of appropriation 009 and 010 in the Fire Department's (""FDNY"") budget, NYPD and FDNY shall provide to the Council semi-annual reports on 911 calls received related to a mental health crisis. Such report shall include information on the number of calls that are routed to FDNY for B-HEARD response by police precinct, the number of calls that are Emotionally Disturbed Person- related that were responded to by FDNY, and the number of calls that are Emotionally Disturbed Person related that were responded to by NYPD officers . The first semi- annual report shall be submitted by November 15, 2024 and the second shall be submitted by July, 15 2025."
